x,y
896,475
895,476
896,476
894,477
895,477
896,477
897,477
898,477
893,478
894,478
895,478
896,478
897,478
898,478
891,479
892,479
893,479
894,479
895,479
896,479
897,479
898,479
890,480
891,480
892,480
893,480
894,480
895,480
896,480
897,480
898,480
890,481
891,481
892,481
893,481
894,481
895,481
896,481
897,481
898,481
889,482
890,482
891,482
892,482
893,482
894,482
895,482
896,482
897,482
887,483
888,483
889,483
890,483
891,483
892,483
893,483
894,483
895,483
896,483
886,484
887,484
888,484
889,484
890,484
891,484
892,484
893,484
894,484
895,484
885,485
886,485
887,485
888,485
889,485
890,485
891,485
892,485
893,485
894,485
884,486
885,486
886,486
887,486
888,486
889,486
890,486
891,486
892,486
882,487
883,487
884,487
885,487
886,487
887,487
888,487
889,487
890,487
891,487
892,487
881,488
882,488
883,488
884,488
885,488
886,488
887,488
888,488
889,488
890,488
891,488
881,489
882,489
883,489
884,489
885,489
886,489
887,489
888,489
889,489
890,489
881,490
882,490
883,490
884,490
885,490
886,490
887,490
888,490
889,490
880,491
881,491
882,491
883,491
884,491
885,491
886,491
887,491
888,491
879,492
880,492
881,492
882,492
883,492
884,492
885,492
886,492
887,492
878,493
879,493
880,493
881,493
882,493
883,493
884,493
885,493
886,493
887,493
878,494
879,494
880,494
881,494
882,494
883,494
884,494
885,494
886,494
887,494
878,495
879,495
880,495
881,495
882,495
883,495
884,495
885,495
877,496
878,496
879,496
880,496
881,496
882,496
883,496
884,496
875,497
876,497
877,497
878,497
879,497
880,497
881,497
882,497
883,497
884,497
875,498
876,498
877,498
878,498
879,498
880,498
881,498
882,498
883,498
884,498
874,499
875,499
876,499
877,499
878,499
879,499
880,499
881,499
882,499
883,499
873,500
874,500
875,500
876,500
877,500
878,500
879,500
880,500
881,500
882,500
883,500
872,501
873,501
874,501
875,501
876,501
877,501
878,501
879,501
880,501
881,501
882,501
872,502
873,502
874,502
875,502
876,502
877,502
878,502
879,502
880,502
881,502
871,503
872,503
873,503
874,503
875,503
876,503
877,503
878,503
879,503
880,503
869,504
870,504
