x,y
206,45
205,46
206,46
207,46
208,46
209,46
203,47
204,47
205,47
206,47
207,47
208,47
209,47
210,47
200,48
201,48
202,48
203,48
204,48
205,48
206,48
207,48
208,48
209,48
210,48
200,49
201,49
202,49
203,49
204,49
205,49
206,49
207,49
208,49
209,49
210,49
211,49
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
200,51
201,51
202,51
203,51
204,51
205,51
206,51
207,51
208,51
209,51
210,51
200,52
201,52
202,52
203,52
204,52
205,52
206,52
207,52
208,52
209,52
210,52
200,53
201,53
202,53
203,53
204,53
205,53
206,53
207,53
208,53
209,53
199,54
200,54
201,54
202,54
203,54
204,54
205,54
206,54
207,54
208,54
209,54
199,55
200,55
201,55
202,55
203,55
204,55
205,55
206,55
207,55
208,55
197,56
198,56
199,56
200,56
201,56
202,56
203,56
204,56
205,56
206,56
207,56
197,57
198,57
199,57
200,57
201,57
202,57
203,57
204,57
205,57
206,57
207,57
195,58
196,58
197,58
198,58
199,58
200,58
201,58
202,58
203,58
204,58
205,58
206,58
207,58
177,59
195,59
196,59
197,59
198,59
199,59
200,59
201,59
202,59
203,59
204,59
205,59
206,59
207,59
160,60
161,60
162,60
163,60
164,60
165,60
166,60
167,60
168,60
169,60
170,60
171,60
172,60
173,60
174,60
175,60
176,60
177,60
178,60
179,60
194,60
195,60
196,60
197,60
198,60
199,60
200,60
201,60
202,60
203,60
204,60
205,60
206,60
159,61
160,61
161,61
162,61
163,61
164,61
165,61
166,61
167,61
168,61
169,61
170,61
171,61
172,61
173,61
174,61
175,61
176,61
177,61
178,61
179,61
180,61
191,61
192,61
193,61
194,61
195,61
196,61
197,61
198,61
199,61
200,61
201,61
202,61
203,61
158,62
159,62
160,62
161,62
162,62
163,62
164,62
165,62
166,62
167,62
168,62
169,62
170,62
171,62
172,62
173,62
174,62
175,62
176,62
177,62
178,62
179,62
180,62
181,62
182,62
189,62
190,62
191,62
192,62
193,62
194,62
195,62
196,62
197,62
198,62
199,62
200,62
201,62
202,62
203,62
157,63
158,63
159,63
160,63
161,63
162,63
163,63
164,63
165,63
166,63
167,63
168,63
169,63
170,63
171,63
172,63
173,63
174,63
175,63
176,63
177,63
178,63
179,63
180,63
181,63
182,63
183,63
186,63
187,63
188,63
189,63
190,63
191,63
192,63
193,63
194,63
195,63
196,63
197,63
198,63
199,63
200,63
201,63
202,63
203,63
156,64
157,64
158,64
159,64
160,64
161,64
162,64
163,64
164,64
165,64
166,64
167,64
168,64
169,64
170,64
171,64
172,64
173,64
174,64
175,64
176,64
177,64
178,64
179,64
180,64
181,64
182,64
183,64
184,64
188,64
189,64
190,64
191,64
192,64
193,64
194,64
195,64
196,64
197,64
198,64
199,64
200,64
201,64
155,65
156,65
157,65
158,65
159,65
160,65
161,65
162,65
163,65
164,65
165,65
166,65
167,65
168,65
169,65
170,65
171,65
172,65
173,65
174,65
175,65
176,65
177,65
178,65
179,65
180,65
181,65
182,65
183,65
184,65
185,65
187,65
188,65
189,65
190,65
191,65
192,65
193,65
194,65
195,65
196,65
197,65
198,65
199,65
200,65
155,66
156,66
157,66
158,66
159,66
160,66
161,66
162,66
163,66
164,66
165,66
166,66
167,66
168,66
169,66
170,66
171,66
172,66
173,66
174,66
175,66
176,66
177,66
178,66
179,66
180,66
181,66
182,66
183,66
184,66
185,66
186,66
187,66
188,66
189,66
190,66
191,66
192,66
193,66
194,66
195,66
196,66
197,66
198,66
199,66
200,66
155,67
156,67
157,67
158,67
159,67
160,67
161,67
162,67
163,67
164,67
165,67
166,67
167,67
168,67
169,67
170,67
171,67
172,67
173,67
174,67
175,67
176,67
177,67
178,67
179,67
180,67
181,67
182,67
183,67
184,67
185,67
186,67
187,67
188,67
189,67
190,67
191,67
192,67
193,67
194,67
195,67
196,67
197,67
198,67
199,67
154,68
155,68
156,68
157,68
158,68
159,68
160,68
161,68
162,68
163,68
164,68
165,68
166,68
167,68
168,68
169,68
170,68
171,68
172,68
173,68
174,68
175,68
176,68
177,68
178,68
179,68
180,68
181,68
182,68
183,68
184,68
185,68
186,68
187,68
188,68
189,68
190,68
191,68
192,68
193,68
194,68
195,68
196,68
197,68
198,68
154,69
155,69
156,69
157,69
158,69
159,69
160,69
161,69
162,69
168,69
169,69
170,69
171,69
172,69
173,69
178,69
179,69
180,69
181,69
182,69
183,69
184,69
185,69
186,69
187,69
188,69
189,69
190,69
191,69
192,69
193,69
194,69
195,69
196,69
197,69
154,70
155,70
156,70
157,70
158,70
159,70
160,70
161,70
162,70
173,70
178,70
179,70
180,70
181,70
182,70
183,70
184,70
185,70
186,70
187,70
188,70
189,70
190,70
191,70
192,70
193,70
194,70
195,70
196,70
153,71
154,71
155,71
156,71
157,71
158,71
159,71
160,71
161,71
179,71
180,71
181,71
182,71
183,71
184,71
185,71
186,71
187,71
188,71
189,71
190,71
191,71
192,71
193,71
194,71
195,71
196,71
152,72
153,72
154,72
155,72
156,72
157,72
158,72
159,72
160,72
181,72
182,72
183,72
184,72
185,72
186,72
187,72
188,72
189,72
190,72
191,72
192,72
193,72
194,72
195,72
152,73
153,73
154,73
155,73
156,73
157,73
158,73
159,73
160,73
182,73
183,73
184,73
185,73
186,73
187,73
188,73
189,73
190,73
191,73
192,73
193,73
194,73
152,74
153,74
154,74
155,74
156,74
157,74
158,74
159,74
183,74
184,74
185,74
186,74
187,74
188,74
189,74
190,74
191,74
192,74
193,74
152,75
153,75
154,75
155,75
156,75
157,75
158,75
159,75
152,76
153,76
154,76
155,76
156,76
157,76
158,76
159,76
152,77
153,77
154,77
155,77
156,77
157,77
158,77
159,77
160,77
152,78
153,78
154,78
155,78
156,78
157,78
158,78
159,78
160,78
153,79
154,79
155,79
156,79
157,79
158,79
159,79
160,79
153,80
154,80
155,80
156,80
157,80
158,80
159,80
160,80
153,81
154,81
155,81
156,81
157,81
158,81
159,81
160,81
154,82
155,82
156,82
157,82
158,82
159,82
160,82
154,83
155,83
156,83
157,83
158,83
159,83
160,83
154,84
155,84
156,84
157,84
158,84
159,84
160,84
154,85
155,85
156,85
157,85
158,85
159,85
160,85
154,86
155,86
156,86
157,86
158,86
159,86
160,86
84,87
85,87
88,87
154,87
155,87
156,87
157,87
158,87
159,87
160,87
84,88
85,88
86,88
87,88
88,88
154,88
155,88
156,88
157,88
158,88
159,88
160,88
84,89
85,89
86,89
87,89
88,89
89,89
90,89
154,89
155,89
156,89
157,89
158,89
159,89
160,89
83,90
84,90
85,90
86,90
87,90
88,90
89,90
90,90
91,90
92,90
154,90
155,90
156,90
157,90
158,90
159,90
160,90
83,91
84,91
85,91
86,91
87,91
88,91
89,91
90,91
91,91
92,91
154,91
155,91
156,91
157,91
158,91
159,91
160,91
83,92
84,92
85,92
86,92
87,92
88,92
89,92
90,92
91,92
92,92
93,92
154,92
155,92
156,92
157,92
158,92
159,92
160,92
161,92
162,92
163,92
84,93
85,93
86,93
87,93
88,93
89,93
90,93
91,93
92,93
93,93
153,93
154,93
155,93
156,93
157,93
158,93
159,93
160,93
161,93
162,93
163,93
164,93
84,94
85,94
86,94
87,94
88,94
89,94
90,94
91,94
92,94
93,94
94,94
96,94
153,94
154,94
155,94
156,94
157,94
158,94
159,94
160,94
161,94
162,94
163,94
164,94
165,94
84,95
85,95
86,95
87,95
88,95
89,95
90,95
91,95
92,95
93,95
94,95
95,95
96,95
97,95
154,95
155,95
156,95
157,95
158,95
159,95
160,95
161,95
162,95
163,95
164,95
165,95
166,95
85,96
86,96
87,96
88,96
89,96
90,96
91,96
92,96
93,96
94,96
95,96
96,96
97,96
98,96
155,96
156,96
157,96
158,96
159,96
160,96
161,96
162,96
163,96
164,96
165,96
166,96
89,97
90,97
91,97
92,97
93,97
94,97
95,97
96,97
97,97
98,97
156,97
157,97
158,97
159,97
160,97
161,97
162,97
163,97
164,97
165,97
166,97
90,98
91,98
92,98
93,98
94,98
95,98
96,98
97,98
98,98
156,98
157,98
158,98
159,98
160,98
161,98
162,98
163,98
164,98
165,98
166,98
91,99
92,99
93,99
94,99
95,99
96,99
97,99
98,99
156,99
157,99
158,99
159,99
160,99
161,99
162,99
163,99
164,99
165,99
166,99
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
93,101
94,101
95,101
96,101
97,101
98,101
99,101
157,101
158,101
159,101
160,101
161,101
162,101
163,101
164,101
165,101
166,101
167,101
93,102
94,102
95,102
96,102
97,102
98,102
99,102
100,102
159,102
160,102
161,102
162,102
163,102
164,102
165,102
166,102
167,102
94,103
95,103
96,103
97,103
98,103
99,103
100,103
159,103
160,103
161,103
162,103
163,103
164,103
165,103
166,103
167,103
94,104
95,104
96,104
97,104
98,104
99,104
100,104
159,104
160,104
161,104
162,104
163,104
164,104
165,104
166,104
167,104
94,105
95,105
96,105
97,105
98,105
99,105
100,105
101,105
