x,y
1093,138
1094,138
1095,138
1088,139
1089,139
1090,139
1091,139
1092,139
1093,139
1094,139
1095,139
1096,139
1088,140
1089,140
1090,140
1091,140
1092,140
1093,140
1094,140
1095,140
1096,140
1097,140
1098,140
1088,141
1089,141
1090,141
1091,141
1092,141
1093,141
1094,141
1095,141
1096,141
1097,141
1098,141
1089,142
1090,142
1091,142
1092,142
1093,142
1094,142
1095,142
1096,142
1097,142
1098,142
1090,143
1091,143
1092,143
1093,143
1094,143
1095,143
1096,143
1097,143
1098,143
1091,144
1092,144
1093,144
1094,144
1095,144
1096,144
1097,144
1098,144
1091,145
1092,145
1093,145
1094,145
1095,145
1096,145
1097,145
1098,145
1091,146
1092,146
1093,146
1094,146
1095,146
1096,146
1097,146
1098,146
1091,147
1092,147
1093,147
1094,147
1095,147
1096,147
1097,147
1098,147
1091,148
1092,148
1093,148
1094,148
1095,148
1096,148
1097,148
1098,148
1091,149
1092,149
1093,149
1094,149
1095,149
1096,149
1097,149
1098,149
1091,150
1092,150
1093,150
1094,150
1095,150
1096,150
1097,150
1098,150
1091,151
1092,151
1093,151
1094,151
1095,151
1096,151
1097,151
1098,151
1091,152
1092,152
1093,152
1094,152
1095,152
1096,152
1097,152
1098,152
1092,153
1093,153
1094,153
1095,153
1096,153
1097,153
1098,153
1099,153
1092,154
1093,154
1094,154
1095,154
1096,154
1097,154
1098,154
1099,154
1092,155
1093,155
1094,155
1095,155
1096,155
1097,155
1098,155
1099,155
1092,156
1093,156
1094,156
1095,156
1096,156
1097,156
1098,156
1099,156
1092,157
1093,157
1094,157
1095,157
1096,157
1097,157
1098,157
1099,157
1092,158
1093,158
1094,158
1095,158
1096,158
1097,158
1098,158
1099,158
1093,159
1094,159
1095,159
1096,159
1097,159
1098,159
1099,159
1093,160
1094,160
1095,160
1096,160
1097,160
1098,160
1099,160
1093,161
1094,161
1095,161
1096,161
1097,161
1098,161
1099,161
1092,162
1093,162
1094,162
1095,162
1096,162
1097,162
1098,162
1099,162
1091,163
1092,163
1093,163
1094,163
1095,163
1096,163
