x,y
1049,203
1050,203
1047,204
1048,204
1049,204
1050,204
1051,204
1045,205
1046,205
1047,205
1048,205
1049,205
1050,205
1051,205
1052,205
1053,205
1064,205
1065,205
1043,206
1044,206
1045,206
1046,206
1047,206
1048,206
1049,206
1050,206
1051,206
1052,206
1053,206
1054,206
1055,206
1056,206
1059,206
1060,206
1063,206
1064,206
1065,206
1043,207
1044,207
1045,207
1046,207
1047,207
1048,207
1049,207
1050,207
1051,207
1052,207
1053,207
1054,207
1055,207
1056,207
1057,207
1058,207
1059,207
1060,207
1061,207
1062,207
1063,207
1064,207
1065,207
1066,207
1043,208
1044,208
1045,208
1046,208
1047,208
1048,208
1049,208
1050,208
1051,208
1052,208
1053,208
1054,208
1055,208
1056,208
1057,208
1058,208
1059,208
1060,208
1061,208
1062,208
1063,208
1064,208
1065,208
1066,208
1067,208
1068,208
1043,209
1044,209
1045,209
1046,209
1047,209
1048,209
1049,209
1050,209
1051,209
1052,209
1053,209
1054,209
1055,209
1056,209
1057,209
1058,209
1059,209
1060,209
1061,209
1062,209
1063,209
1064,209
1065,209
1066,209
1067,209
1068,209
1069,209
1045,210
1046,210
1047,210
1048,210
1049,210
1050,210
1051,210
1052,210
1053,210
1054,210
1055,210
1056,210
1057,210
1058,210
1059,210
1060,210
1061,210
1062,210
1063,210
1064,210
1065,210
1066,210
1067,210
1068,210
1069,210
1070,210
1045,211
1046,211
1047,211
1048,211
1049,211
1050,211
1051,211
1052,211
1053,211
1054,211
1055,211
1056,211
1057,211
1058,211
1059,211
1060,211
1061,211
1062,211
1063,211
1064,211
1065,211
1066,211
1067,211
1068,211
1069,211
1070,211
1049,212
1050,212
1051,212
1052,212
1053,212
1054,212
1055,212
1056,212
1057,212
1058,212
1059,212
1060,212
1061,212
1062,212
1063,212
1064,212
1065,212
1066,212
1067,212
1068,212
1069,212
1070,212
1051,213
1052,213
1053,213
1054,213
1055,213
1056,213
1057,213
1058,213
1059,213
1060,213
1061,213
1062,213
1063,213
1064,213
1065,213
1066,213
1067,213
1068,213
1069,213
1070,213
1052,214
1053,214
1054,214
1055,214
1056,214
1057,214
1058,214
1059,214
1060,214
1062,214
1063,214
1064,214
1065,214
1066,214
1067,214
1068,214
1069,214
1070,214
1055,215
1056,215
1057,215
1058,215
1063,215
1064,215
1065,215
1066,215
1067,215
1068,215
1069,215
1070,215
1063,216
1064,216
1065,216
1066,216
1067,216
1068,216
1069,216
1070,216
1063,217
1064,217
1065,217
1066,217
1067,217
1068,217
1069,217
1070,217
1063,218
1064,218
1065,218
1066,218
1067,218
1068,218
1069,218
1070,218
1062,219
1063,219
1064,219
1065,219
1066,219
1067,219
1068,219
1069,219
1070,219
1062,220
1063,220
1064,220
1065,220
1066,220
1067,220
1068,220
1069,220
1070,220
1062,221
1063,221
1064,221
1065,221
1066,221
1067,221
1068,221
1069,221
1070,221
1071,221
1062,222
1063,222
1064,222
1065,222
1066,222
1067,222
1068,222
1069,222
1070,222
1071,222
1062,223
1063,223
1064,223
1065,223
1066,223
1067,223
1068,223
1069,223
1070,223
1071,223
1062,224
1063,224
1064,224
1065,224
1066,224
1067,224
1068,224
1069,224
1070,224
1071,224
1063,225
1064,225
1065,225
1066,225
1067,225
1068,225
1069,225
1070,225
1071,225
1064,226
1065,226
1066,226
1067,226
1068,226
1069,226
1070,226
1071,226
1064,227
1065,227
1066,227
1067,227
1068,227
1069,227
1070,227
1071,227
1064,228
1065,228
1066,228
1067,228
1068,228
1069,228
1070,228
1071,228
1060,229
1064,229
1065,229
1066,229
1067,229
1068,229
1069,229
1070,229
1071,229
1060,230
1064,230
1065,230
1066,230
1067,230
1068,230
1069,230
1070,230
1071,230
1072,230
1064,231
1065,231
1066,231
1067,231
1068,231
1069,231
1070,231
1071,231
1072,231
1065,232
1066,232
1067,232
1068,232
1069,232
1070,232
1071,232
1072,232
1065,233
1066,233
1067,233
1068,233
1069,233
1070,233
1071,233
1072,233
1065,234
1066,234
1067,234
1068,234
1069,234
1070,234
1071,234
1072,234
1065,235
1066,235
1067,235
1068,235
1069,235
1070,235
1071,235
1072,235
1065,236
1066,236
1067,236
1068,236
1069,236
1070,236
1071,236
1072,236
1065,237
1066,237
1067,237
1068,237
1069,237
1070,237
1071,237
1072,237
1065,238
1066,238
1067,238
1068,238
1069,238
1070,238
1071,238
1072,238
1065,239
1066,239
1067,239
1068,239
1069,239
1070,239
1071,239
1072,239
1064,240
1065,240
1066,240
1067,240
1068,240
1069,240
1070,240
1071,240
1072,240
1064,241
1065,241
1066,241
1067,241
1068,241
1069,241
1070,241
1071,241
1072,241
1064,242
1065,242
1066,242
1067,242
1068,242
1069,242
1070,242
1071,242
1072,242
1064,243
1065,243
1066,243
1067,243
1068,243
1069,243
1070,243
1071,243
1072,243
1064,244
1065,244
1066,244
1067,244
1068,244
1069,244
1070,244
1071,244
1072,244
1064,245
1065,245
1066,245
1067,245
1068,245
1069,245
1070,245
1071,245
1072,245
1064,246
1065,246
1066,246
1067,246
1068,246
1069,246
1070,246
1071,246
1072,246
1064,247
1065,247
1066,247
1067,247
1068,247
1069,247
1070,247
1071,247
1072,247
1064,248
1065,248
1066,248
1067,248
1068,248
1069,248
1070,248
1071,248
1072,248
1064,249
1065,249
1066,249
1067,249
1068,249
1069,249
1070,249
1071,249
1072,249
1064,250
1065,250
1066,250
1067,250
1068,250
1069,250
1070,250
1071,250
1072,250
1064,251
1065,251
1066,251
1067,251
1068,251
1069,251
1070,251
1071,251
1072,251
1065,252
1066,252
1067,252
1068,252
1069,252
1070,252
1071,252
1072,252
1065,253
1066,253
1067,253
1068,253
1069,253
1070,253
1071,253
1072,253
1065,254
1066,254
1067,254
1068,254
1069,254
1070,254
1071,254
1072,254
1074,254
1065,255
1066,255
1067,255
1068,255
1069,255
1070,255
1071,255
1072,255
1065,256
1066,256
1067,256
1068,256
1069,256
1070,256
1071,256
1072,256
1073,256
1077,256
1078,256
1065,257
1066,257
1067,257
1068,257
1069,257
1070,257
1071,257
1072,257
1073,257
1074,257
1075,257
1076,257
1077,257
1078,257
1079,257
1066,258
1067,258
1068,258
1069,258
1070,258
1071,258
1072,258
1073,258
1074,258
1075,258
1076,258
1077,258
1078,258
1066,259
1067,259
1068,259
1069,259
1070,259
1071,259
1072,259
1073,259
1074,259
1075,259
1076,259
1077,259
1080,259
1066,260
1067,260
1068,260
1069,260
1070,260
1071,260
1072,260
1073,260
1074,260
1075,260
1076,260
1077,260
1066,261
1067,261
1068,261
1069,261
1070,261
1071,261
1072,261
1073,261
1074,261
1075,261
1076,261
1066,262
1067,262
1068,262
1069,262
1070,262
1071,262
1072,262
1073,262
1074,262
1066,263
1067,263
1068,263
1069,263
1070,263
1071,263
1072,263
1073,263
1072,264
