x,y
990,317
991,317
992,317
993,317
994,317
995,317
996,317
997,317
998,317
999,317
1000,317
1001,317
1002,317
1003,317
986,318
987,318
988,318
989,318
990,318
991,318
992,318
993,318
994,318
995,318
996,318
997,318
998,318
999,318
1000,318
1001,318
1002,318
1003,318
984,319
985,319
986,319
987,319
988,319
989,319
990,319
991,319
992,319
993,319
994,319
995,319
996,319
997,319
998,319
999,319
1000,319
1001,319
1002,319
1003,319
1004,319
982,320
983,320
984,320
985,320
986,320
987,320
988,320
989,320
990,320
991,320
992,320
993,320
994,320
995,320
996,320
997,320
998,320
999,320
1000,320
1001,320
1002,320
1003,320
1004,320
1005,320
981,321
982,321
983,321
984,321
985,321
986,321
987,321
988,321
989,321
990,321
991,321
992,321
993,321
994,321
995,321
996,321
997,321
998,321
999,321
1000,321
1001,321
1002,321
1003,321
1004,321
1005,321
1006,321
980,322
981,322
982,322
983,322
984,322
985,322
986,322
987,322
988,322
989,322
990,322
991,322
992,322
993,322
994,322
995,322
996,322
997,322
998,322
999,322
1000,322
1001,322
1002,322
1003,322
1004,322
1005,322
1006,322
1007,322
1008,322
1009,322
979,323
980,323
981,323
982,323
983,323
984,323
985,323
986,323
987,323
988,323
989,323
990,323
991,323
992,323
993,323
994,323
995,323
996,323
997,323
998,323
999,323
1000,323
1001,323
1002,323
1003,323
1004,323
1005,323
1006,323
1007,323
1008,323
1009,323
1010,323
976,324
977,324
978,324
979,324
980,324
981,324
982,324
983,324
984,324
985,324
986,324
987,324
988,324
989,324
990,324
991,324
992,324
993,324
994,324
995,324
996,324
997,324
998,324
999,324
1000,324
1001,324
1002,324
1003,324
1004,324
1005,324
1006,324
1007,324
1008,324
1009,324
1010,324
1011,324
976,325
977,325
978,325
979,325
980,325
981,325
982,325
983,325
984,325
985,325
986,325
987,325
988,325
989,325
990,325
991,325
996,325
997,325
998,325
999,325
1000,325
1001,325
1002,325
1003,325
1004,325
1005,325
1006,325
1007,325
1008,325
1009,325
1010,325
1011,325
1012,325
1013,325
1014,325
978,326
979,326
980,326
981,326
982,326
983,326
984,326
985,326
986,326
987,326
988,326
989,326
999,326
1000,326
1001,326
1002,326
1003,326
1004,326
1005,326
1006,326
1007,326
1008,326
1009,326
1010,326
1011,326
1012,326
1013,326
1014,326
1015,326
1016,326
1017,326
1018,326
978,327
979,327
980,327
981,327
982,327
983,327
984,327
985,327
986,327
987,327
1000,327
1001,327
1002,327
1003,327
1004,327
1005,327
1006,327
1007,327
1008,327
1009,327
1010,327
1011,327
1012,327
1013,327
1014,327
1015,327
1016,327
1017,327
1018,327
1019,327
979,328
980,328
981,328
982,328
983,328
985,328
986,328
1004,328
1005,328
1006,328
1007,328
1008,328
1009,328
1010,328
1011,328
1012,328
1013,328
1014,328
1015,328
1016,328
1017,328
1018,328
1019,328
979,329
980,329
981,329
1007,329
1008,329
1009,329
1010,329
1011,329
1012,329
1013,329
1014,329
1015,329
1016,329
1017,329
1018,329
1019,329
1020,329
1008,330
1009,330
1010,330
1011,330
1012,330
1013,330
1014,330
1015,330
1016,330
1017,330
1018,330
1019,330
1020,330
1021,330
1022,330
1023,330
1024,330
1025,330
1010,331
1011,331
1012,331
1013,331
1014,331
1015,331
1016,331
1017,331
1018,331
1019,331
1020,331
1021,331
1022,331
1023,331
1024,331
1025,331
1026,331
1011,332
1012,332
1013,332
1014,332
1015,332
1016,332
1017,332
1018,332
1019,332
1020,332
1021,332
1022,332
1023,332
1024,332
1025,332
1026,332
1027,332
1012,333
1013,333
1014,333
1015,333
1016,333
1017,333
1018,333
1019,333
1020,333
1021,333
1022,333
1023,333
1024,333
1025,333
1027,333
1014,334
1015,334
1016,334
1017,334
1018,334
1019,334
1020,334
1021,334
1022,334
1023,334
1024,334
1025,334
1014,335
1015,335
1016,335
1017,335
1018,335
1019,335
1020,335
1021,335
1022,335
1023,335
1024,335
1014,336
1015,336
1016,336
1017,336
1018,336
1019,336
1020,336
1021,336
1022,336
1023,336
1024,336
1014,337
1015,337
1016,337
1017,337
1018,337
1019,337
1020,337
1021,337
1022,337
1023,337
1024,337
1014,338
1015,338
1016,338
1017,338
1018,338
1019,338
1020,338
1021,338
1022,338
1023,338
1024,338
1015,339
1016,339
1017,339
1018,339
1019,339
1020,339
1021,339
1022,339
1023,339
1024,339
1016,340
1017,340
1018,340
1019,340
1020,340
1021,340
1022,340
1023,340
1024,340
1025,340
1016,341
1017,341
1018,341
1019,341
1020,341
1021,341
1022,341
1023,341
1024,341
1016,342
1017,342
1018,342
1019,342
1020,342
1021,342
1022,342
1023,342
1016,343
1017,343
1018,343
1019,343
1020,343
1021,343
1022,343
1023,343
1016,344
1017,344
1018,344
1019,344
1020,344
1021,344
1022,344
1023,344
1016,345
1017,345
1018,345
1019,345
1020,345
1021,345
1022,345
1023,345
1024,345
1016,346
1017,346
1018,346
1019,346
1020,346
1021,346
1022,346
1023,346
1024,346
1025,346
1026,346
1027,346
1028,346
1029,346
1015,347
1016,347
1017,347
1018,347
1019,347
1020,347
1021,347
1022,347
1023,347
1024,347
1025,347
1026,347
1027,347
1028,347
1029,347
1030,347
1031,347
1034,347
1015,348
1016,348
1017,348
1018,348
1019,348
1020,348
1021,348
1022,348
1023,348
1024,348
1025,348
1026,348
1027,348
1028,348
1029,348
1030,348
1031,348
1032,348
1033,348
1034,348
1035,348
1036,348
1037,348
1016,349
1017,349
1018,349
1019,349
1020,349
1021,349
1022,349
1023,349
1024,349
1025,349
1026,349
1027,349
1028,349
1029,349
1030,349
1031,349
1032,349
1033,349
1034,349
1035,349
1036,349
1037,349
1038,349
1039,349
1017,350
1018,350
1019,350
1020,350
1021,350
1022,350
1023,350
1024,350
1025,350
1026,350
1027,350
1028,350
1029,350
1030,350
1031,350
1032,350
1033,350
1034,350
1035,350
1036,350
1037,350
1038,350
1039,350
1040,350
1018,351
1019,351
1020,351
1021,351
1022,351
1023,351
1024,351
1025,351
1026,351
1027,351
1028,351
1029,351
1030,351
1031,351
1032,351
1033,351
1034,351
1035,351
1036,351
1037,351
1038,351
1039,351
1040,351
1019,352
1020,352
1021,352
1022,352
1023,352
1024,352
1025,352
1026,352
1027,352
1028,352
1029,352
1030,352
1031,352
1032,352
1033,352
1034,352
1035,352
1036,352
1037,352
1038,352
1039,352
1040,352
1041,352
1021,353
1022,353
1023,353
1024,353
1025,353
1026,353
1027,353
1028,353
1029,353
1030,353
1031,353
1032,353
1033,353
1034,353
1035,353
1036,353
1037,353
1038,353
1039,353
1040,353
1022,354
1023,354
1024,354
1025,354
1026,354
1027,354
1028,354
1029,354
1030,354
1031,354
1032,354
1033,354
1034,354
1035,354
1036,354
1037,354
1038,354
1039,354
1040,354
1023,355
1024,355
1025,355
1026,355
1027,355
1028,355
1029,355
1030,355
1031,355
1032,355
1033,355
1034,355
1035,355
1036,355
1037,355
1038,355
1039,355
1040,355
1032,356
1033,356
1034,356
1035,356
1036,356
1037,356
