x,y
590,92
591,92
592,92
593,92
594,92
595,92
596,92
590,93
591,93
592,93
593,93
594,93
595,93
596,93
597,93
598,93
589,94
590,94
591,94
592,94
593,94
594,94
595,94
596,94
597,94
598,94
589,95
590,95
591,95
592,95
593,95
594,95
595,95
596,95
597,95
598,95
599,95
589,96
590,96
591,96
592,96
593,96
594,96
595,96
596,96
597,96
598,96
599,96
589,97
590,97
591,97
592,97
593,97
594,97
595,97
596,97
597,97
598,97
599,97
589,98
590,98
591,98
592,98
593,98
594,98
595,98
596,98
597,98
598,98
599,98
589,99
590,99
591,99
592,99
593,99
594,99
595,99
596,99
597,99
598,99
599,99
600,99
589,100
590,100
591,100
592,100
593,100
594,100
595,100
596,100
597,100
598,100
599,100
600,100
589,101
590,101
591,101
592,101
593,101
594,101
595,101
596,101
597,101
598,101
599,101
600,101
589,102
590,102
591,102
592,102
593,102
594,102
595,102
596,102
597,102
598,102
599,102
600,102
589,103
590,103
591,103
592,103
593,103
594,103
595,103
596,103
597,103
598,103
599,103
600,103
589,104
590,104
591,104
592,104
593,104
594,104
595,104
596,104
597,104
598,104
599,104
600,104
589,105
590,105
591,105
592,105
593,105
594,105
595,105
596,105
597,105
598,105
599,105
600,105
590,106
591,106
592,106
593,106
594,106
595,106
596,106
597,106
598,106
599,106
600,106
590,107
591,107
592,107
593,107
594,107
595,107
596,107
597,107
598,107
599,107
600,107
590,108
591,108
592,108
593,108
594,108
595,108
596,108
597,108
598,108
599,108
600,108
590,109
591,109
592,109
593,109
594,109
595,109
596,109
597,109
598,109
599,109
600,109
590,110
591,110
592,110
593,110
594,110
595,110
596,110
597,110
598,110
599,110
600,110
601,110
590,111
591,111
592,111
593,111
594,111
595,111
596,111
597,111
598,111
599,111
600,111
601,111
591,112
592,112
593,112
594,112
595,112
596,112
597,112
598,112
599,112
600,112
601,112
591,113
592,113
593,113
594,113
595,113
596,113
597,113
598,113
599,113
600,113
601,113
602,113
591,114
592,114
593,114
594,114
595,114
596,114
597,114
598,114
599,114
600,114
601,114
602,114
591,115
592,115
593,115
594,115
595,115
596,115
597,115
598,115
599,115
600,115
601,115
602,115
592,116
593,116
594,116
595,116
596,116
597,116
598,116
599,116
600,116
601,116
602,116
592,117
593,117
594,117
595,117
596,117
597,117
598,117
599,117
600,117
601,117
592,118
593,118
594,118
595,118
596,118
597,118
598,118
599,118
600,118
601,118
592,119
593,119
594,119
595,119
596,119
597,119
598,119
599,119
600,119
601,119
602,119
592,120
593,120
594,120
595,120
596,120
597,120
598,120
599,120
600,120
601,120
602,120
592,121
593,121
594,121
595,121
596,121
597,121
598,121
599,121
600,121
601,121
602,121
592,122
593,122
594,122
595,122
596,122
597,122
598,122
599,122
600,122
601,122
602,122
603,122
592,123
593,123
594,123
595,123
596,123
597,123
598,123
599,123
600,123
601,123
602,123
603,123
592,124
593,124
594,124
595,124
596,124
597,124
598,124
599,124
600,124
601,124
602,124
603,124
592,125
593,125
594,125
595,125
596,125
597,125
598,125
599,125
600,125
601,125
602,125
603,125
604,125
592,126
593,126
594,126
595,126
596,126
597,126
598,126
599,126
600,126
601,126
602,126
603,126
604,126
593,127
594,127
595,127
596,127
597,127
598,127
599,127
600,127
601,127
602,127
603,127
604,127
594,128
595,128
596,128
597,128
598,128
599,128
600,128
601,128
602,128
603,128
604,128
594,129
595,129
596,129
597,129
598,129
599,129
600,129
601,129
602,129
603,129
604,129
594,130
595,130
596,130
597,130
598,130
599,130
600,130
601,130
602,130
603,130
604,130
594,131
595,131
596,131
597,131
598,131
599,131
600,131
601,131
602,131
603,131
604,131
605,131
594,132
595,132
596,132
597,132
598,132
599,132
600,132
601,132
602,132
603,132
604,132
605,132
595,133
596,133
597,133
598,133
599,133
600,133
601,133
602,133
603,133
604,133
605,133
595,134
596,134
597,134
598,134
599,134
600,134
601,134
602,134
603,134
604,134
605,134
594,135
595,135
596,135
597,135
598,135
599,135
600,135
601,135
602,135
603,135
604,135
605,135
594,136
595,136
596,136
597,136
598,136
599,136
600,136
601,136
602,136
603,136
604,136
605,136
594,137
595,137
596,137
597,137
598,137
599,137
600,137
601,137
602,137
603,137
604,137
605,137
595,138
596,138
597,138
598,138
599,138
600,138
601,138
602,138
603,138
604,138
605,138
596,139
597,139
598,139
599,139
600,139
601,139
602,139
603,139
604,139
605,139
596,140
597,140
598,140
599,140
600,140
601,140
602,140
603,140
604,140
605,140
606,140
597,141
598,141
599,141
600,141
601,141
602,141
603,141
604,141
605,141
606,141
596,142
597,142
598,142
599,142
600,142
601,142
602,142
603,142
604,142
605,142
606,142
596,143
597,143
598,143
599,143
600,143
601,143
602,143
603,143
604,143
605,143
606,143
596,144
597,144
598,144
599,144
600,144
601,144
602,144
603,144
604,144
605,144
606,144
596,145
597,145
598,145
599,145
600,145
601,145
602,145
603,145
604,145
605,145
606,145
596,146
597,146
598,146
599,146
600,146
601,146
602,146
603,146
604,146
605,146
606,146
596,147
597,147
598,147
599,147
600,147
601,147
602,147
603,147
604,147
605,147
606,147
598,148
599,148
600,148
601,148
602,148
603,148
604,148
605,148
606,148
598,149
599,149
600,149
601,149
602,149
603,149
604,149
605,149
606,149
598,150
599,150
600,150
601,150
602,150
603,150
604,150
605,150
606,150
607,150
598,151
599,151
600,151
601,151
602,151
603,151
604,151
605,151
606,151
607,151
598,152
599,152
600,152
601,152
602,152
603,152
604,152
605,152
606,152
607,152
598,153
599,153
600,153
601,153
602,153
603,153
604,153
605,153
606,153
607,153
598,154
599,154
600,154
601,154
602,154
603,154
604,154
605,154
606,154
607,154
599,155
600,155
601,155
602,155
603,155
604,155
605,155
606,155
607,155
599,156
600,156
601,156
602,156
603,156
604,156
605,156
606,156
607,156
599,157
600,157
601,157
602,157
603,157
604,157
605,157
606,157
607,157
599,158
600,158
601,158
602,158
603,158
604,158
605,158
606,158
607,158
599,159
600,159
601,159
602,159
603,159
604,159
605,159
606,159
607,159
599,160
600,160
601,160
602,160
603,160
604,160
605,160
606,160
607,160
608,160
599,161
600,161
601,161
602,161
603,161
604,161
605,161
606,161
607,161
608,161
599,162
600,162
601,162
602,162
603,162
604,162
605,162
606,162
607,162
608,162
599,163
600,163
601,163
602,163
603,163
604,163
605,163
606,163
607,163
608,163
599,164
600,164
601,164
602,164
603,164
604,164
605,164
606,164
607,164
608,164
599,165
600,165
601,165
602,165
603,165
604,165
605,165
606,165
607,165
608,165
599,166
600,166
601,166
602,166
603,166
604,166
605,166
606,166
607,166
608,166
609,166
599,167
600,167
601,167
602,167
603,167
604,167
605,167
606,167
607,167
608,167
609,167
599,168
600,168
601,168
602,168
603,168
604,168
605,168
606,168
607,168
608,168
609,168
599,169
600,169
601,169
602,169
603,169
604,169
605,169
606,169
607,169
608,169
609,169
599,170
600,170
601,170
602,170
603,170
604,170
605,170
606,170
607,170
608,170
609,170
610,170
600,171
