x,y
908,463
909,463
910,463
911,463
912,463
907,464
908,464
909,464
910,464
911,464
912,464
913,464
904,465
905,465
906,465
907,465
908,465
909,465
910,465
911,465
912,465
913,465
904,466
905,466
906,466
907,466
908,466
909,466
910,466
911,466
912,466
913,466
905,467
906,467
907,467
908,467
909,467
910,467
911,467
912,467
913,467
905,468
906,468
907,468
908,468
909,468
910,468
911,468
912,468
913,468
905,469
906,469
907,469
908,469
909,469
910,469
911,469
912,469
913,469
914,469
905,470
906,470
907,470
908,470
909,470
910,470
911,470
912,470
913,470
914,470
904,471
905,471
906,471
907,471
908,471
909,471
910,471
911,471
912,471
913,471
914,471
904,472
905,472
906,472
907,472
908,472
909,472
910,472
911,472
912,472
913,472
914,472
915,472
904,473
905,473
906,473
907,473
908,473
909,473
910,473
911,473
912,473
913,473
914,473
915,473
916,473
905,474
906,474
907,474
908,474
909,474
910,474
911,474
912,474
913,474
914,474
915,474
916,474
917,474
905,475
906,475
907,475
908,475
909,475
910,475
911,475
912,475
913,475
914,475
915,475
916,475
917,475
918,475
919,475
905,476
906,476
907,476
908,476
909,476
910,476
911,476
912,476
913,476
914,476
915,476
916,476
917,476
918,476
919,476
920,476
921,476
922,476
907,477
908,477
909,477
910,477
911,477
912,477
913,477
914,477
915,477
916,477
917,477
918,477
919,477
920,477
921,477
922,477
923,477
909,478
910,478
911,478
912,478
913,478
914,478
915,478
916,478
917,478
918,478
919,478
920,478
921,478
922,478
910,479
911,479
912,479
913,479
914,479
915,479
916,479
917,479
918,479
919,479
920,479
921,479
922,479
912,480
913,480
914,480
915,480
916,480
917,480
918,480
919,480
920,480
921,480
922,480
923,480
924,480
925,480
926,480
914,481
915,481
916,481
917,481
918,481
919,481
920,481
921,481
922,481
923,481
924,481
925,481
926,481
927,481
915,482
916,482
917,482
918,482
919,482
920,482
921,482
922,482
923,482
924,482
925,482
926,482
927,482
916,483
917,483
918,483
919,483
920,483
921,483
922,483
923,483
924,483
925,483
926,483
927,483
916,484
917,484
918,484
919,484
920,484
921,484
922,484
923,484
924,484
925,484
926,484
927,484
917,485
918,485
919,485
920,485
921,485
922,485
923,485
924,485
925,485
926,485
927,485
928,485
929,485
930,485
917,486
918,486
919,486
920,486
921,486
922,486
923,486
924,486
925,486
926,486
927,486
928,486
929,486
930,486
931,486
920,487
921,487
922,487
923,487
924,487
925,487
926,487
927,487
928,487
929,487
930,487
931,487
932,487
933,487
920,488
921,488
922,488
923,488
924,488
925,488
926,488
927,488
928,488
929,488
930,488
931,488
932,488
933,488
921,489
922,489
923,489
924,489
925,489
926,489
927,489
928,489
929,489
930,489
931,489
932,489
933,489
922,490
923,490
924,490
925,490
926,490
927,490
928,490
929,490
930,490
931,490
932,490
933,490
934,490
935,490
936,490
923,491
924,491
925,491
926,491
927,491
928,491
929,491
930,491
931,491
932,491
933,491
934,491
935,491
936,491
924,492
925,492
926,492
927,492
928,492
929,492
930,492
931,492
932,492
933,492
934,492
925,493
926,493
927,493
928,493
929,493
930,493
931,493
932,493
933,493
934,493
935,493
926,494
927,494
928,494
929,494
930,494
931,494
932,494
933,494
934,494
935,494
936,494
927,495
928,495
929,495
930,495
931,495
932,495
933,495
934,495
935,495
936,495
937,495
938,495
939,495
940,495
928,496
929,496
930,496
931,496
932,496
933,496
934,496
935,496
936,496
937,496
938,496
939,496
940,496
929,497
930,497
931,497
932,497
933,497
934,497
935,497
936,497
937,497
938,497
939,497
940,497
941,497
929,498
930,498
931,498
932,498
933,498
934,498
935,498
936,498
937,498
938,498
939,498
940,498
941,498
942,498
930,499
931,499
932,499
933,499
934,499
935,499
936,499
937,499
938,499
939,499
940,499
941,499
942,499
943,499
944,499
931,500
932,500
933,500
934,500
935,500
936,500
937,500
938,500
939,500
940,500
941,500
942,500
943,500
944,500
932,501
933,501
934,501
935,501
936,501
937,501
938,501
939,501
940,501
941,501
942,501
943,501
944,501
933,502
934,502
935,502
936,502
937,502
938,502
939,502
940,502
941,502
942,502
943,502
944,502
945,502
933,503
934,503
935,503
936,503
937,503
938,503
939,503
940,503
941,503
942,503
943,503
944,503
945,503
946,503
947,503
949,503
935,504
936,504
937,504
938,504
939,504
940,504
941,504
942,504
943,504
944,504
945,504
946,504
947,504
948,504
949,504
936,505
937,505
938,505
939,505
940,505
941,505
942,505
943,505
944,505
945,505
946,505
947,505
948,505
949,505
950,505
937,506
938,506
939,506
940,506
941,506
942,506
943,506
944,506
945,506
946,506
947,506
948,506
949,506
950,506
951,506
940,507
941,507
942,507
943,507
944,507
945,507
946,507
947,507
948,507
949,507
950,507
951,507
952,507
942,508
943,508
944,508
945,508
946,508
947,508
948,508
949,508
950,508
951,508
952,508
953,508
944,509
945,509
946,509
947,509
948,509
949,509
950,509
951,509
952,509
953,509
954,509
944,510
945,510
946,510
947,510
948,510
949,510
950,510
951,510
952,510
953,510
954,510
955,510
956,510
944,511
945,511
946,511
947,511
948,511
949,511
950,511
951,511
952,511
953,511
954,511
955,511
956,511
957,511
958,511
945,512
946,512
947,512
948,512
949,512
950,512
951,512
952,512
953,512
954,512
955,512
956,512
957,512
958,512
947,513
948,513
949,513
950,513
951,513
952,513
953,513
954,513
955,513
956,513
957,513
958,513
948,514
949,514
950,514
951,514
952,514
953,514
954,514
955,514
956,514
957,514
958,514
959,514
949,515
950,515
951,515
952,515
953,515
954,515
955,515
956,515
957,515
958,515
959,515
960,515
949,516
950,516
951,516
952,516
953,516
954,516
955,516
956,516
957,516
958,516
959,516
960,516
961,516
953,517
954,517
955,517
956,517
957,517
958,517
959,517
960,517
961,517
962,517
954,518
955,518
956,518
957,518
958,518
959,518
960,518
