x,y
825,303
833,303
834,303
835,303
836,303
821,304
822,304
823,304
824,304
825,304
826,304
827,304
828,304
829,304
830,304
831,304
832,304
833,304
834,304
835,304
836,304
837,304
838,304
839,304
818,305
819,305
820,305
821,305
822,305
823,305
824,305
825,305
826,305
827,305
828,305
829,305
830,305
831,305
832,305
833,305
834,305
835,305
836,305
837,305
838,305
839,305
840,305
817,306
818,306
819,306
820,306
821,306
822,306
823,306
824,306
825,306
826,306
827,306
828,306
829,306
830,306
831,306
832,306
833,306
834,306
835,306
836,306
837,306
838,306
839,306
840,306
841,306
812,307
813,307
814,307
815,307
816,307
817,307
818,307
819,307
820,307
821,307
822,307
823,307
824,307
825,307
826,307
827,307
828,307
829,307
830,307
831,307
832,307
833,307
834,307
835,307
836,307
837,307
838,307
839,307
840,307
841,307
811,308
812,308
813,308
814,308
815,308
816,308
817,308
818,308
819,308
820,308
821,308
822,308
823,308
824,308
825,308
826,308
827,308
828,308
829,308
830,308
831,308
832,308
833,308
834,308
835,308
836,308
837,308
838,308
839,308
840,308
841,308
809,309
810,309
811,309
812,309
813,309
814,309
815,309
816,309
817,309
818,309
819,309
820,309
821,309
822,309
823,309
824,309
825,309
826,309
827,309
828,309
829,309
830,309
831,309
832,309
833,309
834,309
835,309
836,309
837,309
838,309
839,309
840,309
841,309
808,310
809,310
810,310
811,310
812,310
813,310
814,310
815,310
816,310
817,310
818,310
819,310
820,310
821,310
822,310
823,310
824,310
825,310
826,310
827,310
828,310
829,310
830,310
831,310
832,310
833,310
834,310
835,310
836,310
837,310
838,310
839,310
840,310
841,310
806,311
807,311
808,311
809,311
810,311
811,311
812,311
813,311
814,311
815,311
816,311
817,311
818,311
819,311
820,311
821,311
822,311
823,311
824,311
825,311
826,311
827,311
828,311
829,311
830,311
831,311
832,311
833,311
834,311
837,311
838,311
839,311
840,311
804,312
805,312
806,312
807,312
808,312
809,312
810,312
811,312
812,312
813,312
814,312
815,312
816,312
817,312
818,312
819,312
820,312
821,312
822,312
823,312
824,312
825,312
826,312
827,312
828,312
803,313
804,313
805,313
806,313
807,313
808,313
809,313
810,313
811,313
812,313
813,313
814,313
815,313
816,313
817,313
818,313
803,314
804,314
805,314
806,314
807,314
808,314
809,314
810,314
811,314
812,314
813,314
814,314
815,314
803,315
804,315
805,315
806,315
807,315
808,315
809,315
810,315
811,315
812,315
813,315
801,316
802,316
803,316
804,316
805,316
806,316
807,316
808,316
809,316
810,316
811,316
801,317
802,317
803,317
804,317
805,317
806,317
807,317
808,317
809,317
810,317
799,318
800,318
801,318
802,318
803,318
804,318
805,318
806,318
807,318
808,318
809,318
798,319
799,319
800,319
801,319
802,319
803,319
804,319
805,319
806,319
807,319
808,319
796,320
797,320
798,320
799,320
800,320
801,320
802,320
803,320
804,320
805,320
806,320
807,320
795,321
796,321
797,321
798,321
799,321
800,321
801,321
802,321
803,321
804,321
805,321
806,321
794,322
795,322
796,322
797,322
798,322
799,322
800,322
801,322
802,322
803,322
804,322
805,322
794,323
795,323
796,323
797,323
798,323
799,323
800,323
801,323
802,323
803,323
804,323
793,324
794,324
795,324
796,324
797,324
798,324
799,324
800,324
801,324
802,324
793,325
794,325
795,325
796,325
797,325
798,325
799,325
800,325
801,325
793,326
794,326
795,326
796,326
797,326
798,326
799,326
800,326
801,326
793,327
794,327
795,327
796,327
797,327
798,327
799,327
800,327
793,328
794,328
795,328
796,328
797,328
798,328
799,328
800,328
793,329
794,329
795,329
796,329
797,329
798,329
799,329
800,329
793,330
794,330
795,330
796,330
797,330
798,330
799,330
800,330
793,331
794,331
795,331
796,331
797,331
798,331
799,331
800,331
793,332
794,332
795,332
796,332
797,332
798,332
799,332
800,332
801,332
793,333
794,333
795,333
796,333
797,333
798,333
799,333
800,333
801,333
793,334
794,334
795,334
796,334
797,334
798,334
799,334
800,334
801,334
793,335
794,335
795,335
796,335
797,335
798,335
799,335
800,335
801,335
793,336
794,336
795,336
796,336
797,336
798,336
799,336
800,336
801,336
793,337
794,337
795,337
796,337
797,337
798,337
799,337
800,337
801,337
793,338
794,338
795,338
796,338
797,338
798,338
799,338
800,338
801,338
793,339
794,339
795,339
796,339
797,339
798,339
799,339
800,339
801,339
793,340
794,340
795,340
796,340
797,340
798,340
799,340
800,340
801,340
793,341
794,341
795,341
796,341
797,341
798,341
799,341
800,341
801,341
793,342
794,342
795,342
796,342
797,342
798,342
799,342
800,342
801,342
793,343
794,343
795,343
796,343
797,343
798,343
799,343
800,343
801,343
793,344
794,344
795,344
796,344
797,344
798,344
799,344
800,344
801,344
793,345
794,345
795,345
796,345
797,345
798,345
799,345
800,345
801,345
793,346
794,346
795,346
796,346
797,346
798,346
799,346
800,346
801,346
793,347
794,347
795,347
796,347
797,347
798,347
799,347
800,347
801,347
793,348
794,348
795,348
796,348
797,348
798,348
799,348
800,348
801,348
793,349
794,349
795,349
796,349
797,349
798,349
799,349
800,349
801,349
794,350
795,350
796,350
797,350
798,350
799,350
800,350
801,350
794,351
795,351
796,351
797,351
798,351
799,351
800,351
801,351
794,352
795,352
796,352
797,352
798,352
799,352
800,352
801,352
802,352
794,353
795,353
796,353
797,353
798,353
799,353
800,353
801,353
802,353
794,354
795,354
796,354
797,354
798,354
799,354
800,354
801,354
802,354
794,355
795,355
796,355
797,355
798,355
799,355
800,355
801,355
794,356
795,356
796,356
797,356
798,356
799,356
800,356
801,356
802,356
795,357
796,357
797,357
798,357
799,357
800,357
801,357
802,357
795,358
796,358
797,358
798,358
799,358
800,358
801,358
802,358
796,359
797,359
798,359
799,359
800,359
801,359
802,359
796,360
797,360
798,360
799,360
800,360
801,360
802,360
796,361
797,361
798,361
799,361
800,361
801,361
802,361
796,362
797,362
798,362
799,362
800,362
801,362
802,362
795,363
796,363
797,363
798,363
799,363
800,363
801,363
802,363
803,363
795,364
796,364
797,364
798,364
799,364
800,364
801,364
802,364
803,364
795,365
796,365
797,365
798,365
799,365
800,365
801,365
802,365
803,365
795,366
796,366
797,366
798,366
799,366
800,366
801,366
802,366
803,366
795,367
796,367
797,367
798,367
799,367
800,367
801,367
802,367
803,367
795,368
796,368
797,368
798,368
799,368
800,368
801,368
802,368
803,368
795,369
796,369
797,369
798,369
799,369
800,369
801,369
802,369
803,369
795,370
796,370
797,370
798,370
799,370
800,370
801,370
802,370
803,370
795,371
796,371
797,371
798,371
799,371
800,371
801,371
802,371
803,371
795,372
796,372
797,372
798,372
799,372
800,372
801,372
802,372
795,373
796,373
797,373
798,373
799,373
800,373
801,373
802,373
795,374
796,374
797,374
798,374
799,374
800,374
801,374
802,374
795,375
796,375
797,375
798,375
799,375
800,375
801,375
802,375
794,376
795,376
796,376
797,376
798,376
799,376
800,376
801,376
802,376
793,377
794,377
795,377
796,377
797,377
798,377
799,377
800,377
801,377
802,377
793,378
794,378
795,378
796,378
797,378
798,378
799,378
800,378
801,378
793,379
794,379
795,379
796,379
797,379
798,379
799,379
800,379
801,379
791,380
792,380
793,380
794,380
795,380
796,380
797,380
798,380
799,380
800,380
801,380
792,381
793,381
794,381
795,381
796,381
797,381
798,381
799,381
800,381
801,381
792,382
793,382
794,382
795,382
796,382
797,382
798,382
799,382
800,382
801,382
792,383
793,383
794,383
795,383
796,383
797,383
798,383
799,383
800,383
801,383
792,384
793,384
794,384
795,384
796,384
797,384
798,384
799,384
800,384
801,384
792,385
793,385
794,385
795,385
796,385
797,385
798,385
799,385
800,385
801,385
792,386
793,386
794,386
795,386
796,386
797,386
798,386
799,386
792,387
793,387
794,387
795,387
796,387
797,387
798,387
799,387
791,388
792,388
793,388
794,388
795,388
796,388
797,388
798,388
799,388
800,388
790,389
791,389
792,389
793,389
794,389
795,389
796,389
797,389
798,389
799,389
800,389
790,390
791,390
792,390
793,390
794,390
795,390
796,390
797,390
798,390
799,390
790,391
791,391
792,391
793,391
794,391
795,391
796,391
797,391
798,391
799,391
790,392
791,392
792,392
793,392
794,392
795,392
796,392
797,392
798,392
799,392
790,393
791,393
792,393
793,393
794,393
795,393
796,393
797,393
798,393
799,393
790,394
791,394
792,394
793,394
794,394
795,394
796,394
797,394
798,394
799,394
790,395
791,395
792,395
793,395
794,395
795,395
796,395
797,395
798,395
790,396
791,396
792,396
793,396
794,396
795,396
796,396
797,396
798,396
794,397
795,397
796,397
797,397
