x,y
1103,220
1104,220
1105,220
1099,221
1100,221
1101,221
1102,221
1103,221
1104,221
1105,221
1094,222
1095,222
1096,222
1097,222
1098,222
1099,222
1100,222
1101,222
1102,222
1103,222
1104,222
1105,222
1106,222
1089,223
1090,223
1091,223
1092,223
1093,223
1094,223
1095,223
1096,223
1097,223
1098,223
1099,223
1100,223
1101,223
1104,223
1105,223
1106,223
1083,224
1084,224
1085,224
1086,224
1087,224
1088,224
1089,224
1090,224
1091,224
1092,224
1093,224
1094,224
1095,224
1096,224
1105,224
1106,224
1079,225
1080,225
1081,225
1082,225
1083,225
1084,225
1085,225
1086,225
1087,225
1088,225
1089,225
1090,225
1091,225
1092,225
1105,225
1106,225
1107,225
1075,226
1076,226
1077,226
1078,226
1079,226
1080,226
1081,226
1082,226
1083,226
1084,226
1085,226
1086,226
1087,226
1088,226
1105,226
1106,226
1107,226
1073,227
1074,227
1075,227
1076,227
1077,227
1078,227
1079,227
1080,227
1081,227
1082,227
1083,227
1084,227
1085,227
1086,227
1105,227
1106,227
1107,227
1071,228
1072,228
1073,228
1074,228
1075,228
1076,228
1077,228
1078,228
1079,228
1080,228
1081,228
1082,228
1105,228
1106,228
1107,228
1071,229
1072,229
1073,229
1074,229
1075,229
1076,229
1077,229
1106,229
1107,229
1072,230
1073,230
1074,230
1106,230
1107,230
1108,230
1072,231
1073,231
1074,231
1106,231
1107,231
1108,231
1072,232
1073,232
1074,232
1106,232
1107,232
1108,232
1072,233
1073,233
1074,233
1107,233
1108,233
1073,234
1074,234
1107,234
1108,234
1109,234
1073,235
1074,235
1075,235
1107,235
1108,235
1109,235
1073,236
1074,236
1075,236
1107,236
1108,236
1109,236
1073,237
1074,237
1075,237
1108,237
1109,237
1110,237
1074,238
1075,238
1108,238
1109,238
1110,238
1074,239
1075,239
1107,239
1108,239
1109,239
1110,239
1074,240
1075,240
1076,240
1106,240
1107,240
1108,240
1109,240
1110,240
1074,241
1075,241
1076,241
1105,241
1106,241
1107,241
1108,241
1109,241
1074,242
1075,242
1076,242
1103,242
1104,242
1105,242
1106,242
1107,242
1108,242
1074,243
1075,243
1076,243
1100,243
1101,243
1102,243
1103,243
1104,243
1105,243
1106,243
1074,244
1075,244
1076,244
1095,244
1096,244
1097,244
1098,244
1099,244
1100,244
1101,244
1102,244
1103,244
1074,245
1075,245
1076,245
1092,245
1093,245
1094,245
1095,245
1096,245
1097,245
1098,245
1099,245
1100,245
1101,245
1074,246
1075,246
1076,246
1088,246
1089,246
1090,246
1091,246
1092,246
1093,246
1094,246
1095,246
1096,246
1074,247
1075,247
1076,247
1087,247
1088,247
1089,247
1090,247
1091,247
1092,247
1093,247
1074,248
1075,248
1076,248
1086,248
1087,248
1088,248
1089,248
1090,248
1091,248
1074,249
1075,249
1076,249
1085,249
1086,249
1087,249
1088,249
1074,250
1075,250
1076,250
1083,250
1084,250
1085,250
1086,250
1087,250
1074,251
1075,251
1076,251
1082,251
1083,251
1084,251
1085,251
1086,251
1074,252
1075,252
1076,252
1081,252
1082,252
1083,252
1084,252
1074,253
1075,253
1076,253
1080,253
1081,253
1082,253
1083,253
1074,254
1075,254
1076,254
1079,254
1080,254
1081,254
1082,254
1074,255
1075,255
1076,255
1079,255
1080,255
1081,255
1074,256
1075,256
1077,256
1078,256
1079,256
1080,256
1074,257
1075,257
1076,257
1077,257
1078,257
1079,257
1074,258
1075,258
1076,258
1077,258
1078,258
1075,259
