x,y
906,457
900,458
901,458
902,458
903,458
904,458
905,458
906,458
907,458
891,459
892,459
893,459
894,459
895,459
896,459
897,459
898,459
899,459
900,459
901,459
902,459
903,459
904,459
905,459
906,459
907,459
886,460
887,460
888,460
889,460
890,460
891,460
892,460
893,460
894,460
895,460
896,460
897,460
898,460
899,460
900,460
901,460
902,460
903,460
904,460
905,460
906,460
907,460
876,461
877,461
878,461
879,461
880,461
883,461
884,461
885,461
886,461
887,461
888,461
889,461
890,461
891,461
892,461
893,461
894,461
895,461
896,461
897,461
898,461
899,461
900,461
901,461
902,461
903,461
904,461
905,461
906,461
907,461
872,462
873,462
874,462
875,462
876,462
877,462
878,462
879,462
880,462
881,462
882,462
883,462
884,462
885,462
886,462
887,462
888,462
889,462
890,462
891,462
892,462
893,462
894,462
895,462
896,462
897,462
903,462
904,462
905,462
906,462
907,462
908,462
862,463
863,463
864,463
865,463
866,463
867,463
868,463
869,463
870,463
871,463
872,463
873,463
874,463
875,463
876,463
877,463
878,463
879,463
880,463
881,463
882,463
883,463
884,463
885,463
886,463
887,463
902,463
903,463
904,463
905,463
906,463
907,463
852,464
853,464
854,464
855,464
856,464
857,464
858,464
859,464
860,464
861,464
862,464
863,464
864,464
865,464
866,464
867,464
868,464
869,464
870,464
871,464
872,464
873,464
874,464
875,464
876,464
877,464
902,464
903,464
904,464
905,464
851,465
852,465
853,465
854,465
855,465
856,465
857,465
858,465
859,465
860,465
861,465
862,465
863,465
864,465
865,465
866,465
867,465
868,465
869,465
870,465
902,465
903,465
904,465
850,466
851,466
852,466
853,466
854,466
855,466
856,466
857,466
858,466
859,466
902,466
903,466
850,467
851,467
852,467
853,467
854,467
902,467
903,467
904,467
851,468
852,468
853,468
854,468
902,468
903,468
904,468
851,469
852,469
853,469
854,469
902,469
903,469
904,469
905,469
906,469
907,469
851,470
852,470
853,470
854,470
904,470
905,470
906,470
907,470
908,470
909,470
851,471
852,471
853,471
854,471
905,471
906,471
907,471
908,471
909,471
910,471
911,471
912,471
913,471
914,471
852,472
853,472
854,472
907,472
908,472
909,472
910,472
911,472
912,472
913,472
914,472
915,472
852,473
853,473
854,473
909,473
910,473
911,473
912,473
913,473
914,473
915,473
916,473
852,474
853,474
854,474
855,474
914,474
915,474
916,474
853,475
854,475
855,475
914,475
915,475
916,475
917,475
853,476
854,476
855,476
915,476
916,476
917,476
853,477
854,477
855,477
915,477
916,477
917,477
918,477
854,478
855,478
856,478
916,478
917,478
918,478
854,479
855,479
856,479
917,479
918,479
919,479
920,479
855,480
856,480
917,480
918,480
919,480
920,480
855,481
856,481
857,481
918,481
919,481
920,481
921,481
855,482
856,482
857,482
918,482
919,482
920,482
921,482
922,482
856,483
857,483
858,483
919,483
920,483
921,483
922,483
923,483
856,484
857,484
858,484
921,484
922,484
923,484
857,485
858,485
922,485
923,485
924,485
857,486
858,486
859,486
922,486
923,486
924,486
925,486
926,486
857,487
858,487
859,487
923,487
924,487
925,487
926,487
927,487
928,487
857,488
858,488
859,488
923,488
924,488
925,488
926,488
927,488
928,488
929,488
857,489
858,489
859,489
925,489
926,489
927,489
928,489
929,489
930,489
858,490
859,490
860,490
927,490
928,490
929,490
930,490
931,490
858,491
859,491
860,491
929,491
930,491
931,491
932,491
933,491
858,492
859,492
860,492
930,492
931,492
932,492
933,492
934,492
859,493
860,493
932,493
933,493
934,493
935,493
859,494
860,494
861,494
932,494
933,494
934,494
935,494
936,494
859,495
860,495
861,495
934,495
935,495
936,495
937,495
938,495
859,496
860,496
861,496
935,496
936,496
937,496
938,496
939,496
860,497
861,497
937,497
938,497
939,497
940,497
860,498
861,498
938,498
939,498
940,498
941,498
860,499
861,499
862,499
939,499
940,499
941,499
942,499
860,500
861,500
862,500
940,500
941,500
942,500
860,501
861,501
862,501
941,501
942,501
943,501
860,502
861,502
862,502
941,502
942,502
943,502
861,503
862,503
863,503
941,503
942,503
943,503
944,503
861,504
862,504
863,504
942,504
943,504
944,504
945,504
861,505
862,505
863,505
943,505
944,505
945,505
946,505
947,505
862,506
863,506
944,506
945,506
946,506
947,506
948,506
949,506
950,506
862,507
863,507
864,507
946,507
947,507
948,507
949,507
950,507
951,507
862,508
863,508
864,508
949,508
950,508
951,508
952,508
862,509
863,509
864,509
950,509
951,509
952,509
863,510
864,510
865,510
951,510
952,510
953,510
863,511
864,511
865,511
951,511
952,511
953,511
863,512
864,512
865,512
866,512
952,512
953,512
954,512
863,513
864,513
865,513
866,513
952,513
953,513
954,513
864,514
865,514
866,514
953,514
954,514
955,514
864,515
865,515
866,515
867,515
953,515
954,515
955,515
864,516
865,516
866,516
867,516
953,516
954,516
955,516
864,517
865,517
866,517
867,517
953,517
954,517
955,517
864,518
865,518
866,518
867,518
954,518
955,518
956,518
865,519
866,519
867,519
868,519
954,519
955,519
956,519
865,520
866,520
867,520
868,520
954,520
955,520
956,520
957,520
865,521
866,521
867,521
868,521
955,521
956,521
957,521
958,521
959,521
866,522
867,522
868,522
955,522
956,522
957,522
958,522
959,522
960,522
961,522
867,523
868,523
869,523
956,523
957,523
958,523
959,523
960,523
961,523
962,523
867,524
868,524
869,524
959,524
960,524
961,524
962,524
963,524
867,525
868,525
869,525
961,525
962,525
963,525
964,525
868,526
869,526
870,526
962,526
963,526
964,526
868,527
869,527
870,527
963,527
964,527
965,527
868,528
869,528
870,528
871,528
963,528
964,528
965,528
869,529
870,529
871,529
963,529
964,529
965,529
869,530
870,530
871,530
963,530
964,530
965,530
869,531
870,531
871,531
872,531
964,531
965,531
966,531
870,532
871,532
872,532
873,532
964,532
965,532
966,532
967,532
871,533
872,533
873,533
964,533
965,533
966,533
967,533
968,533
969,533
872,534
873,534
965,534
966,534
967,534
968,534
969,534
970,534
872,535
873,535
874,535
967,535
968,535
969,535
970,535
872,536
873,536
874,536
969,536
970,536
971,536
872,537
873,537
874,537
875,537
969,537
970,537
971,537
873,538
874,538
875,538
876,538
968,538
969,538
970,538
874,539
875,539
876,539
968,539
969,539
970,539
874,540
875,540
876,540
967,540
968,540
969,540
874,541
875,541
876,541
967,541
968,541
969,541
874,542
875,542
876,542
966,542
967,542
968,542
874,543
875,543
876,543
966,543
967,543
968,543
874,544
875,544
876,544
966,544
967,544
968,544
873,545
874,545
875,545
967,545
968,545
873,546
874,546
875,546
967,546
968,546
873,547
874,547
875,547
967,547
968,547
873,548
874,548
966,548
967,548
968,548
872,549
873,549
874,549
966,549
967,549
872,550
873,550
874,550
966,550
967,550
872,551
873,551
874,551
965,551
966,551
967,551
872,552
873,552
874,552
965,552
966,552
872,553
873,553
874,553
965,553
966,553
872,554
873,554
874,554
964,554
965,554
966,554
872,555
873,555
874,555
964,555
965,555
966,555
873,556
874,556
964,556
965,556
966,556
873,557
874,557
964,557
965,557
873,558
874,558
875,558
964,558
965,558
873,559
874,559
875,559
964,559
965,559
873,560
874,560
875,560
963,560
964,560
965,560
874,561
875,561
963,561
964,561
965,561
874,562
875,562
876,562
963,562
964,562
874,563
875,563
876,563
963,563
964,563
874,564
875,564
876,564
963,564
964,564
874,565
875,565
876,565
963,565
964,565
874,566
875,566
876,566
963,566
964,566
874,567
875,567
963,567
964,567
873,568
874,568
875,568
963,568
964,568
873,569
874,569
875,569
876,569
963,569
964,569
965,569
874,570
875,570
876,570
877,570
950,570
951,570
952,570
953,570
954,570
955,570
956,570
963,570
964,570
965,570
874,571
875,571
876,571
877,571
949,571
950,571
951,571
952,571
953,571
954,571
955,571
956,571
957,571
958,571
959,571
960,571
961,571
962,571
963,571
964,571
965,571
875,572
876,572
877,572
949,572
950,572
951,572
952,572
953,572
954,572
955,572
956,572
957,572
958,572
959,572
960,572
961,572
962,572
963,572
