x,y
764,263
765,263
766,263
767,263
768,263
769,263
770,263
771,263
772,263
773,263
774,263
775,263
776,263
777,263
778,263
779,263
780,263
749,264
750,264
751,264
752,264
753,264
754,264
755,264
756,264
757,264
758,264
759,264
760,264
761,264
762,264
763,264
764,264
765,264
766,264
767,264
768,264
769,264
770,264
771,264
772,264
773,264
774,264
775,264
776,264
777,264
778,264
779,264
780,264
731,265
732,265
733,265
734,265
735,265
736,265
737,265
738,265
739,265
740,265
741,265
742,265
743,265
744,265
745,265
746,265
747,265
748,265
749,265
750,265
751,265
752,265
753,265
754,265
755,265
756,265
757,265
758,265
759,265
760,265
761,265
762,265
763,265
764,265
765,265
766,265
767,265
768,265
769,265
770,265
771,265
772,265
773,265
774,265
775,265
776,265
777,265
778,265
779,265
780,265
721,266
722,266
723,266
724,266
725,266
726,266
727,266
728,266
729,266
730,266
731,266
732,266
733,266
734,266
735,266
736,266
737,266
738,266
739,266
740,266
741,266
742,266
743,266
744,266
745,266
746,266
747,266
748,266
749,266
750,266
751,266
752,266
753,266
754,266
755,266
756,266
757,266
758,266
759,266
760,266
778,266
779,266
780,266
720,267
721,267
722,267
723,267
724,267
725,267
726,267
727,267
728,267
729,267
730,267
731,267
732,267
733,267
734,267
735,267
736,267
737,267
738,267
739,267
740,267
741,267
742,267
743,267
744,267
745,267
746,267
778,267
779,267
780,267
720,268
721,268
722,268
723,268
724,268
725,268
726,268
727,268
728,268
729,268
730,268
731,268
732,268
733,268
734,268
735,268
736,268
737,268
778,268
779,268
780,268
720,269
721,269
722,269
723,269
778,269
779,269
780,269
720,270
721,270
722,270
723,270
778,270
779,270
780,270
720,271
721,271
722,271
723,271
724,271
725,271
778,271
779,271
780,271
722,272
723,272
724,272
725,272
779,272
780,272
724,273
725,273
726,273
779,273
780,273
781,273
724,274
725,274
726,274
780,274
781,274
782,274
725,275
726,275
727,275
780,275
781,275
782,275
783,275
725,276
726,276
727,276
728,276
729,276
781,276
782,276
783,276
784,276
726,277
727,277
728,277
729,277
730,277
782,277
783,277
784,277
785,277
727,278
728,278
729,278
730,278
731,278
782,278
783,278
784,278
785,278
728,279
729,279
730,279
731,279
732,279
783,279
784,279
785,279
729,280
730,280
731,280
732,280
783,280
784,280
785,280
786,280
730,281
731,281
732,281
784,281
785,281
786,281
730,282
731,282
732,282
784,282
785,282
786,282
730,283
731,283
732,283
785,283
786,283
730,284
731,284
732,284
785,284
786,284
787,284
730,285
731,285
732,285
785,285
786,285
787,285
788,285
729,286
730,286
731,286
732,286
786,286
787,286
788,286
729,287
730,287
731,287
732,287
786,287
787,287
788,287
728,288
729,288
730,288
731,288
786,288
787,288
788,288
728,289
729,289
730,289
731,289
786,289
787,289
788,289
727,290
728,290
729,290
730,290
786,290
787,290
788,290
727,291
728,291
729,291
730,291
786,291
787,291
788,291
727,292
728,292
729,292
786,292
787,292
788,292
726,293
727,293
728,293
786,293
787,293
788,293
725,294
726,294
727,294
728,294
786,294
787,294
788,294
723,295
724,295
725,295
726,295
727,295
786,295
787,295
788,295
789,295
722,296
723,296
724,296
725,296
726,296
727,296
786,296
787,296
788,296
789,296
720,297
721,297
722,297
723,297
724,297
725,297
726,297
786,297
787,297
788,297
789,297
717,298
718,298
719,298
720,298
721,298
722,298
723,298
724,298
725,298
787,298
788,298
789,298
714,299
715,299
716,299
717,299
718,299
719,299
720,299
721,299
722,299
787,299
788,299
789,299
714,300
715,300
716,300
717,300
718,300
719,300
787,300
788,300
789,300
713,301
714,301
715,301
716,301
787,301
788,301
789,301
713,302
714,302
715,302
716,302
787,302
788,302
789,302
713,303
714,303
715,303
787,303
788,303
789,303
713,304
714,304
715,304
787,304
788,304
789,304
713,305
714,305
715,305
716,305
787,305
788,305
789,305
713,306
714,306
715,306
716,306
717,306
787,306
788,306
789,306
714,307
715,307
716,307
717,307
718,307
787,307
788,307
789,307
790,307
715,308
716,308
717,308
718,308
788,308
789,308
790,308
715,309
716,309
717,309
718,309
788,309
789,309
790,309
716,310
717,310
718,310
788,310
789,310
790,310
715,311
716,311
717,311
718,311
788,311
789,311
790,311
715,312
716,312
717,312
718,312
788,312
789,312
790,312
715,313
716,313
717,313
718,313
788,313
789,313
790,313
714,314
715,314
716,314
717,314
718,314
788,314
789,314
790,314
713,315
714,315
715,315
716,315
717,315
788,315
789,315
790,315
713,316
714,316
715,316
716,316
788,316
789,316
790,316
712,317
713,317
714,317
788,317
789,317
790,317
712,318
713,318
714,318
788,318
