x,y
1039,301
1040,301
1041,301
1042,301
1033,302
1034,302
1035,302
1036,302
1037,302
1038,302
1039,302
1040,302
1041,302
1042,302
1043,302
1028,303
1029,303
1030,303
1031,303
1032,303
1033,303
1034,303
1035,303
1036,303
1037,303
1038,303
1039,303
1040,303
1041,303
1042,303
1043,303
1044,303
1023,304
1024,304
1025,304
1026,304
1027,304
1028,304
1029,304
1030,304
1031,304
1032,304
1033,304
1034,304
1035,304
1036,304
1041,304
1042,304
1043,304
1044,304
1016,305
1017,305
1018,305
1019,305
1020,305
1021,305
1022,305
1023,305
1024,305
1025,305
1026,305
1027,305
1028,305
1029,305
1030,305
1031,305
1032,305
1041,305
1042,305
1043,305
1044,305
1011,306
1012,306
1013,306
1014,306
1015,306
1016,306
1017,306
1018,306
1019,306
1020,306
1021,306
1022,306
1023,306
1024,306
1025,306
1026,306
1042,306
1043,306
1044,306
1045,306
1006,307
1007,307
1008,307
1009,307
1010,307
1011,307
1012,307
1013,307
1014,307
1015,307
1016,307
1017,307
1018,307
1019,307
1020,307
1042,307
1043,307
1044,307
1045,307
1001,308
1002,308
1003,308
1004,308
1005,308
1006,308
1007,308
1008,308
1009,308
1010,308
1011,308
1012,308
1013,308
1014,308
1015,308
1016,308
1017,308
1043,308
1044,308
1045,308
999,309
1000,309
1001,309
1002,309
1003,309
1004,309
1005,309
1006,309
1007,309
1008,309
1009,309
1010,309
1011,309
1012,309
1013,309
1043,309
1044,309
1045,309
995,310
996,310
997,310
998,310
999,310
1000,310
1001,310
1002,310
1003,310
1004,310
1005,310
1006,310
1007,310
1008,310
1009,310
1010,310
1039,310
1044,310
1045,310
1046,310
990,311
991,311
992,311
993,311
994,311
995,311
996,311
997,311
998,311
999,311
1000,311
1001,311
1002,311
1003,311
1004,311
1038,311
1039,311
1040,311
1044,311
1045,311
1046,311
984,312
985,312
986,312
987,312
988,312
989,312
990,312
991,312
992,312
993,312
994,312
995,312
996,312
997,312
998,312
1036,312
1037,312
1038,312
1039,312
1040,312
1045,312
1046,312
1047,312
979,313
980,313
981,313
982,313
983,313
984,313
985,313
986,313
987,313
988,313
989,313
990,313
991,313
992,313
993,313
994,313
995,313
996,313
997,313
1035,313
1036,313
1037,313
1038,313
1039,313
1040,313
1045,313
1046,313
1047,313
973,314
974,314
975,314
976,314
977,314
978,314
979,314
980,314
981,314
982,314
983,314
984,314
985,314
986,314
987,314
990,314
991,314
992,314
993,314
994,314
995,314
996,314
997,314
998,314
999,314
1034,314
1035,314
1036,314
1037,314
1038,314
1039,314
1045,314
1046,314
1047,314
967,315
968,315
969,315
970,315
971,315
972,315
973,315
974,315
975,315
976,315
977,315
978,315
979,315
980,315
981,315
982,315
989,315
990,315
991,315
992,315
993,315
996,315
997,315
998,315
999,315
1000,315
1001,315
1033,315
1034,315
1035,315
1036,315
1037,315
1038,315
1039,315
1046,315
1047,315
1048,315
964,316
965,316
966,316
967,316
968,316
969,316
970,316
971,316
972,316
973,316
974,316
975,316
976,316
977,316
978,316
987,316
988,316
989,316
990,316
991,316
992,316
997,316
998,316
999,316
1000,316
1001,316
1002,316
1003,316
1033,316
1034,316
1035,316
1037,316
1038,316
1046,316
1047,316
1048,316
964,317
965,317
966,317
967,317
968,317
969,317
970,317
971,317
981,317
982,317
983,317
984,317
985,317
986,317
987,317
