x,y
1117,193
1118,193
1119,193
1115,194
1116,194
1117,194
1118,194
1119,194
1120,194
1113,195
1114,195
1115,195
1116,195
1117,195
1118,195
1119,195
1120,195
1112,196
1113,196
1114,196
1115,196
1116,196
1119,196
1120,196
1121,196
1111,197
1112,197
1113,197
1114,197
1119,197
1120,197
1121,197
1109,198
1110,198
1111,198
1112,198
1113,198
1120,198
1121,198
1122,198
1108,199
1109,199
1110,199
1111,199
1112,199
1113,199
1120,199
1121,199
1122,199
1105,200
1106,200
1107,200
1108,200
1109,200
1110,200
1111,200
1112,200
1113,200
1120,200
1121,200
1122,200
1101,201
1102,201
1103,201
1104,201
1105,201
1106,201
1107,201
1108,201
1109,201
1110,201
1111,201
1120,201
1121,201
1122,201
1096,202
1097,202
1098,202
1099,202
1100,202
1101,202
1102,202
1103,202
1104,202
1105,202
1106,202
1107,202
1120,202
1121,202
1093,203
1094,203
1095,203
1096,203
1097,203
1098,203
1099,203
1100,203
1101,203
1102,203
1103,203
1104,203
1119,203
1120,203
1121,203
1086,204
1087,204
1089,204
1090,204
1091,204
1092,204
1093,204
1094,204
1095,204
1096,204
1097,204
1098,204
1099,204
1119,204
1120,204
1121,204
1084,205
1085,205
1086,205
1087,205
1088,205
1089,205
1090,205
1091,205
1092,205
1093,205
1094,205
1095,205
1119,205
1120,205
1079,206
1080,206
1081,206
1082,206
1083,206
1084,206
1085,206
1086,206
1087,206
1088,206
1089,206
1090,206
1091,206
1118,206
1119,206
1120,206
1072,207
1073,207
1074,207
1075,207
1076,207
1077,207
1078,207
1079,207
1080,207
1081,207
1082,207
1083,207
1084,207
1085,207
1086,207
1087,207
1118,207
1119,207
1071,208
1072,208
1073,208
1074,208
1075,208
1076,208
1077,208
1078,208
1079,208
1080,208
1081,208
1082,208
1118,208
1119,208
1120,208
1071,209
1072,209
1073,209
1074,209
1075,209
1076,209
1077,209
1119,209
1120,209
1121,209
1122,209
1123,209
1124,209
1125,209
1071,210
1072,210
1073,210
1119,210
1120,210
1121,210
1122,210
1123,210
1124,210
1125,210
1126,210
