x,y
761,125
762,125
763,125
764,125
765,125
766,125
758,126
759,126
760,126
761,126
762,126
763,126
764,126
765,126
766,126
767,126
755,127
756,127
757,127
758,127
759,127
760,127
761,127
762,127
763,127
764,127
765,127
766,127
767,127
754,128
755,128
756,128
757,128
758,128
759,128
762,128
763,128
764,128
765,128
766,128
767,128
753,129
754,129
755,129
756,129
761,129
762,129
763,129
764,129
765,129
752,130
753,130
754,130
755,130
761,130
762,130
763,130
751,131
752,131
753,131
754,131
760,131
761,131
762,131
751,132
752,132
753,132
760,132
761,132
762,132
750,133
751,133
752,133
759,133
760,133
761,133
749,134
750,134
751,134
756,134
757,134
758,134
759,134
760,134
761,134
747,135
748,135
749,135
750,135
756,135
757,135
758,135
759,135
746,136
747,136
748,136
749,136
755,136
756,136
757,136
758,136
746,137
747,137
748,137
755,137
756,137
757,137
758,137
745,138
746,138
747,138
754,138
755,138
756,138
757,138
744,139
745,139
746,139
754,139
755,139
756,139
819,139
743,140
744,140
745,140
746,140
753,140
754,140
755,140
759,140
760,140
761,140
817,140
818,140
819,140
820,140
821,140
741,141
742,141
743,141
744,141
745,141
752,141
753,141
754,141
758,141
759,141
760,141
761,141
762,141
763,141
764,141
765,141
815,141
816,141
817,141
818,141
819,141
820,141
821,141
739,142
740,142
741,142
742,142
743,142
744,142
752,142
753,142
754,142
755,142
756,142
757,142
758,142
759,142
760,142
761,142
762,142
763,142
764,142
765,142
766,142
767,142
768,142
812,142
813,142
814,142
815,142
816,142
817,142
819,142
820,142
821,142
738,143
739,143
740,143
741,143
742,143
743,143
752,143
753,143
754,143
755,143
756,143
757,143
758,143
759,143
762,143
763,143
764,143
765,143
766,143
767,143
768,143
769,143
770,143
808,143
809,143
810,143
811,143
812,143
813,143
814,143
815,143
816,143
820,143
821,143
737,144
738,144
739,144
740,144
741,144
752,144
753,144
754,144
755,144
756,144
757,144
758,144
764,144
765,144
766,144
767,144
768,144
769,144
770,144
771,144
802,144
803,144
804,144
805,144
806,144
807,144
808,144
809,144
810,144
811,144
812,144
813,144
814,144
820,144
821,144
736,145
737,145
738,145
739,145
740,145
752,145
753,145
754,145
755,145
756,145
757,145
767,145
768,145
769,145
770,145
771,145
799,145
800,145
801,145
802,145
803,145
804,145
805,145
806,145
807,145
808,145
809,145
810,145
811,145
812,145
813,145
820,145
821,145
836,145
837,145
838,145
732,146
733,146
734,146
735,146
736,146
737,146
738,146
752,146
753,146
754,146
755,146
769,146
770,146
771,146
772,146
796,146
797,146
798,146
799,146
800,146
801,146
802,146
803,146
804,146
805,146
806,146
807,146
808,146
809,146
820,146
821,146
834,146
835,146
836,146
837,146
838,146
839,146
727,147
728,147
729,147
730,147
731,147
732,147
733,147
734,147
735,147
736,147
737,147
753,147
754,147
770,147
771,147
772,147
795,147
796,147
797,147
798,147
799,147
800,147
820,147
821,147
830,147
831,147
832,147
833,147
834,147
835,147
836,147
837,147
838,147
839,147
727,148
728,148
729,148
730,148
731,148
732,148
733,148
734,148
771,148
772,148
773,148
794,148
795,148
796,148
797,148
820,148
821,148
822,148
823,148
824,148
826,148
827,148
828,148
829,148
830,148
831,148
832,148
833,148
834,148
835,148
837,148
838,148
839,148
726,149
727,149
728,149
729,149
772,149
773,149
774,149
792,149
793,149
794,149
795,149
820,149
821,149
822,149
823,149
824,149
825,149
826,149
827,149
828,149
829,149
830,149
831,149
837,149
838,149
839,149
724,150
725,150
726,150
727,150
728,150
772,150
773,150
774,150
775,150
782,150
783,150
791,150
792,150
793,150
794,150
823,150
824,150
825,150
826,150
827,150
837,150
838,150
839,150
723,151
724,151
725,151
