x,y
449,250
450,250
451,250
452,250
448,251
449,251
450,251
451,251
452,251
453,251
454,251
455,251
456,251
457,251
458,251
459,251
460,251
461,251
462,251
463,251
464,251
465,251
466,251
448,252
449,252
450,252
451,252
452,252
453,252
454,252
455,252
456,252
457,252
458,252
459,252
460,252
461,252
462,252
463,252
464,252
465,252
466,252
467,252
468,252
469,252
470,252
471,252
472,252
473,252
474,252
475,252
476,252
477,252
478,252
479,252
480,252
481,252
482,252
483,252
484,252
485,252
448,253
449,253
450,253
451,253
452,253
453,253
454,253
455,253
456,253
457,253
458,253
459,253
460,253
461,253
462,253
463,253
464,253
465,253
466,253
467,253
468,253
469,253
470,253
471,253
472,253
473,253
474,253
475,253
476,253
477,253
478,253
479,253
480,253
481,253
482,253
483,253
484,253
485,253
486,253
487,253
488,253
489,253
490,253
491,253
492,253
493,253
494,253
495,253
496,253
497,253
498,253
499,253
500,253
501,253
448,254
449,254
450,254
459,254
460,254
461,254
462,254
463,254
464,254
465,254
466,254
467,254
468,254
469,254
470,254
471,254
472,254
473,254
474,254
475,254
476,254
477,254
478,254
479,254
480,254
481,254
482,254
483,254
484,254
485,254
486,254
487,254
488,254
489,254
490,254
491,254
492,254
493,254
494,254
495,254
496,254
497,254
498,254
499,254
500,254
501,254
502,254
503,254
504,254
505,254
506,254
507,254
508,254
448,255
449,255
450,255
472,255
473,255
474,255
475,255
476,255
477,255
478,255
479,255
480,255
481,255
482,255
483,255
484,255
485,255
486,255
487,255
488,255
489,255
490,255
491,255
492,255
493,255
494,255
495,255
496,255
497,255
498,255
499,255
500,255
501,255
502,255
503,255
504,255
505,255
506,255
507,255
508,255
509,255
510,255
511,255
512,255
513,255
514,255
515,255
516,255
517,255
518,255
519,255
520,255
521,255
522,255
523,255
448,256
449,256
450,256
493,256
494,256
495,256
496,256
497,256
498,256
499,256
500,256
501,256
502,256
503,256
504,256
505,256
506,256
507,256
508,256
509,256
510,256
511,256
512,256
513,256
514,256
515,256
516,256
517,256
518,256
519,256
520,256
521,256
522,256
523,256
524,256
525,256
526,256
527,256
528,256
529,256
530,256
531,256
532,256
533,256
534,256
535,256
536,256
537,256
538,256
539,256
540,256
541,256
542,256
543,256
544,256
553,256
554,256
555,256
556,256
557,256
558,256
559,256
560,256
561,256
562,256
448,257
449,257
450,257
509,257
510,257
511,257
512,257
513,257
514,257
515,257
516,257
517,257
518,257
519,257
520,257
521,257
522,257
523,257
524,257
525,257
526,257
527,257
528,257
529,257
530,257
531,257
532,257
533,257
534,257
535,257
536,257
537,257
538,257
539,257
540,257
541,257
542,257
543,257
544,257
545,257
546,257
547,257
548,257
549,257
550,257
551,257
552,257
553,257
554,257
555,257
556,257
557,257
558,257
559,257
560,257
561,257
562,257
563,257
448,258
449,258
450,258
528,258
529,258
530,258
531,258
532,258
533,258
534,258
535,258
536,258
537,258
538,258
539,258
540,258
541,258
542,258
543,258
544,258
545,258
546,258
547,258
548,258
549,258
550,258
551,258
552,258
553,258
554,258
555,258
556,258
557,258
558,258
559,258
560,258
561,258
562,258
563,258
564,258
448,259
449,259
450,259
562,259
563,259
564,259
565,259
566,259
448,260
449,260
450,260
563,260
564,260
565,260
566,260
567,260
568,260
448,261
449,261
450,261
564,261
565,261
566,261
567,261
568,261
569,261
582,261
583,261
584,261
585,261
586,261
587,261
448,262
449,262
450,262
567,262
568,262
569,262
570,262
571,262
576,262
577,262
578,262
579,262
580,262
581,262
582,262
583,262
584,262
585,262
586,262
587,262
588,262
448,263
449,263
450,263
568,263
569,263
570,263
571,263
572,263
573,263
574,263
575,263
576,263
577,263
578,263
579,263
580,263
581,263
582,263
583,263
584,263
585,263
586,263
587,263
588,263
589,263
590,263
591,263
448,264
449,264
570,264
571,264
572,264
573,264
574,264
575,264
576,264
577,264
578,264
579,264
587,264
588,264
589,264
590,264
591,264
592,264
593,264
594,264
448,265
449,265
572,265
573,265
574,265
589,265
590,265
591,265
592,265
593,265
594,265
595,265
596,265
447,266
448,266
449,266
592,266
593,266
594,266
595,266
596,266
597,266
447,267
448,267
449,267
594,267
595,267
596,267
597,267
598,267
447,268
448,268
449,268
595,268
596,268
597,268
598,268
599,268
447,269
448,269
449,269
596,269
597,269
598,269
599,269
600,269
447,270
448,270
449,270
597,270
598,270
599,270
600,270
447,271
448,271
449,271
598,271
599,271
600,271
601,271
447,272
448,272
449,272
598,272
599,272
600,272
601,272
602,272
603,272
447,273
448,273
449,273
599,273
600,273
601,273
602,273
603,273
447,274
448,274
449,274
601,274
602,274
603,274
604,274
447,275
448,275
449,275
602,275
603,275
604,275
447,276
448,276
602,276
603,276
604,276
446,277
447,277
448,277
603,277
604,277
446,278
447,278
448,278
603,278
604,278
605,278
446,279
447,279
448,279
603,279
604,279
605,279
446,280
447,280
448,280
603,280
604,280
605,280
446,281
447,281
448,281
603,281
604,281
605,281
606,281
446,282
447,282
448,282
604,282
605,282
606,282
446,283
447,283
448,283
604,283
605,283
606,283
607,283
446,284
447,284
448,284
604,284
605,284
606,284
607,284
446,285
447,285
448,285
605,285
606,285
607,285
608,285
446,286
447,286
605,286
606,286
607,286
608,286
446,287
447,287
605,287
606,287
607,287
608,287
446,288
447,288
606,288
607,288
608,288
445,289
446,289
447,289
606,289
607,289
608,289
609,289
445,290
446,290
447,290
606,290
607,290
608,290
609,290
445,291
446,291
447,291
607,291
608,291
609,291
445,292
446,292
447,292
607,292
608,292
609,292
445,293
446,293
447,293
607,293
608,293
609,293
610,293
445,294
446,294
447,294
608,294
609,294
610,294
445,295
446,295
447,295
608,295
609,295
610,295
611,295
445,296
446,296
447,296
609,296
610,296
611,296
445,297
446,297
447,297
609,297
610,297
611,297
445,298
446,298
447,298
610,298
611,298
612,298
445,299
446,299
610,299
611,299
612,299
445,300
446,300
611,300
612,300
445,301
446,301
611,301
612,301
613,301
445,302
446,302
611,302
612,302
613,302
445,303
446,303
611,303
612,303
613,303
445,304
446,304
611,304
612,304
613,304
445,305
446,305
611,305
612,305
613,305
445,306
446,306
447,306
448,306
449,306
450,306
451,306
452,306
453,306
612,306
613,306
614,306
445,307
446,307
447,307
448,307
449,307
450,307
451,307
452,307
453,307
454,307
455,307
456,307
457,307
458,307
459,307
460,307
461,307
462,307
612,307
613,307
614,307
445,308
446,308
447,308
448,308
449,308
450,308
451,308
452,308
453,308
454,308
455,308
456,308
457,308
458,308
459,308
460,308
461,308
462,308
463,308
464,308
465,308
466,308
467,308
468,308
469,308
470,308
471,308
612,308
613,308
614,308
449,309
450,309
451,309
452,309
453,309
454,309
455,309
456,309
457,309
458,309
459,309
460,309
461,309
462,309
463,309
464,309
465,309
466,309
467,309
468,309
469,309
470,309
471,309
472,309
473,309
474,309
475,309
613,309
614,309
456,310
457,310
458,310
459,310
460,310
461,310
462,310
463,310
464,310
465,310
466,310
467,310
468,310
469,310
470,310
471,310
472,310
473,310
474,310
475,310
476,310
477,310
478,310
479,310
480,310
481,310
613,310
614,310
615,310
467,311
468,311
469,311
470,311
471,311
472,311
473,311
474,311
475,311
476,311
477,311
478,311
479,311
480,311
481,311
482,311
483,311
484,311
485,311
486,311
613,311
614,311
615,311
476,312
477,312
478,312
479,312
480,312
481,312
482,312
483,312
484,312
485,312
486,312
487,312
613,312
614,312
615,312
484,313
485,313
486,313
487,313
613,313
614,313
615,313
485,314
486,314
487,314
613,314
614,314
615,314
485,315
486,315
613,315
614,315
615,315
484,316
485,316
486,316
613,316
614,316
615,316
484,317
485,317
486,317
613,317
614,317
615,317
484,318
485,318
486,318
614,318
615,318
484,319
485,319
486,319
614,319
615,319
616,319
484,320
485,320
486,320
614,320
615,320
616,320
484,321
485,321
486,321
614,321
615,321
616,321
617,321
484,322
485,322
486,322
615,322
616,322
617,322
484,323
485,323
486,323
615,323
616,323
617,323
484,324
485,324
486,324
616,324
617,324
618,324
484,325
485,325
486,325
616,325
617,325
618,325
483,326
484,326
485,326
486,326
616,326
617,326
618,326
483,327
484,327
485,327
486,327
617,327
618,327
483,328
484,328
485,328
486,328
617,328
618,328
619,328
483,329
484,329
485,329
486,329
617,329
618,329
619,329
620,329
483,330
484,330
485,330
486,330
617,330
618,330
619,330
620,330
483,331
484,331
485,331
486,331
617,331
618,331
619,331
620,331
483,332
484,332
485,332
486,332
618,332
619,332
620,332
621,332
483,333
484,333
485,333
486,333
618,333
619,333
620,333
621,333
622,333
483,334
484,334
485,334
486,334
619,334
620,334
621,334
622,334
483,335
484,335
485,335
486,335
620,335
621,335
622,335
623,335
483,336
484,336
485,336
486,336
621,336
622,336
623,336
624,336
483,337
484,337
485,337
486,337
622,337
623,337
624,337
483,338
484,338
485,338
486,338
487,338
488,338
489,338
490,338
491,338
492,338
493,338
494,338
495,338
496,338
497,338
498,338
499,338
500,338
622,338
623,338
624,338
625,338
483,339
484,339
485,339
486,339
487,339
488,339
489,339
490,339
491,339
492,339
493,339
494,339
495,339
496,339
497,339
498,339
499,339
500,339
501,339
502,339
503,339
504,339
505,339
506,339
507,339
508,339
509,339
510,339
511,339
512,339
513,339
514,339
515,339
516,339
517,339
518,339
519,339
520,339
521,339
522,339
523,339
524,339
525,339
526,339
527,339
528,339
529,339
530,339
531,339
532,339
533,339
534,339
535,339
536,339
623,339
624,339
625,339
483,340
484,340
485,340
486,340
487,340
488,340
489,340
490,340
491,340
492,340
493,340
494,340
495,340
496,340
497,340
498,340
499,340
500,340
501,340
502,340
503,340
504,340
505,340
506,340
507,340
508,340
509,340
510,340
511,340
512,340
513,340
514,340
515,340
516,340
517,340
518,340
519,340
520,340
521,340
522,340
523,340
524,340
525,340
526,340
527,340
528,340
529,340
530,340
531,340
532,340
533,340
534,340
535,340
536,340
537,340
538,340
539,340
540,340
541,340
542,340
543,340
544,340
545,340
546,340
547,340
548,340
549,340
550,340
551,340
552,340
553,340
554,340
555,340
556,340
557,340
558,340
559,340
560,340
561,340
562,340
563,340
564,340
565,340
566,340
567,340
568,340
569,340
570,340
571,340
572,340
573,340
574,340
575,340
576,340
577,340
578,340
579,340
580,340
623,340
624,340
625,340
626,340
483,341
484,341
485,341
504,341
505,341
506,341
507,341
508,341
509,341
