x,y
1057,386
1058,386
1059,386
1060,386
1054,387
1055,387
1056,387
1057,387
1058,387
1059,387
1060,387
1061,387
1050,388
1051,388
1052,388
1053,388
1054,388
1055,388
1056,388
1057,388
1058,388
1059,388
1060,388
1061,388
1044,389
1045,389
1046,389
1047,389
1048,389
1049,389
1050,389
1051,389
1052,389
1053,389
1054,389
1055,389
1056,389
1057,389
1059,389
1060,389
1061,389
1062,389
1039,390
1040,390
1041,390
1042,390
1043,390
1044,390
1045,390
1046,390
1047,390
1048,390
1049,390
1050,390
1051,390
1052,390
1060,390
1061,390
1062,390
1036,391
1037,391
1038,391
1039,391
1040,391
1041,391
1042,391
1043,391
1044,391
1045,391
1046,391
1047,391
1048,391
1060,391
1061,391
1062,391
1034,392
1035,392
1036,392
1037,392
1038,392
1039,392
1040,392
1041,392
1042,392
1043,392
1044,392
1045,392
1046,392
1061,392
1062,392
1028,393
1029,393
1030,393
1031,393
1032,393
1033,393
1034,393
1035,393
1036,393
1037,393
1038,393
1039,393
1040,393
1041,393
1042,393
1061,393
1062,393
1063,393
1024,394
1025,394
1026,394
1027,394
1028,394
1029,394
1030,394
1031,394
1032,394
1033,394
1034,394
1035,394
1036,394
1037,394
1061,394
1062,394
1063,394
1020,395
1021,395
1022,395
1023,395
1024,395
1025,395
1026,395
1027,395
1028,395
1029,395
1030,395
1031,395
1032,395
1062,395
1063,395
1064,395
1014,396
1015,396
1016,396
1017,396
1018,396
1019,396
1020,396
1021,396
1022,396
1023,396
1024,396
1025,396
1026,396
1027,396
1063,396
1064,396
1009,397
1010,397
1011,397
1012,397
1013,397
1014,397
1015,397
1016,397
1017,397
1018,397
1019,397
1020,397
1021,397
1022,397
1063,397
1064,397
1065,397
1005,398
1006,398
1007,398
1008,398
1009,398
1010,398
1011,398
1012,398
1013,398
1014,398
1015,398
1016,398
1017,398
1064,398
1065,398
998,399
999,399
1000,399
1001,399
1002,399
1003,399
1004,399
1005,399
1006,399
1007,399
1008,399
1009,399
1010,399
1011,399
1012,399
1064,399
1065,399
1066,399
994,400
995,400
996,400
997,400
998,400
999,400
1000,400
1001,400
1002,400
1003,400
1004,400
1005,400
1006,400
1007,400
1065,400
1066,400
1067,400
990,401
991,401
992,401
993,401
994,401
995,401
996,401
997,401
998,401
999,401
1000,401
1001,401
1002,401
1065,401
1066,401
1067,401
982,402
983,402
984,402
985,402
986,402
987,402
988,402
989,402
990,402
991,402
992,402
993,402
994,402
995,402
996,402
997,402
1066,402
1067,402
1068,402
976,403
977,403
978,403
979,403
980,403
981,403
982,403
983,403
984,403
985,403
986,403
987,403
988,403
989,403
990,403
991,403
992,403
1067,403
1068,403
1069,403
1070,403
968,404
969,404
970,404
971,404
972,404
973,404
974,404
975,404
976,404
977,404
978,404
979,404
980,404
981,404
982,404
983,404
984,404
985,404
1068,404
1069,404
1070,404
1071,404
962,405
963,405
964,405
965,405
966,405
967,405
968,405
969,405
970,405
971,405
972,405
973,405
974,405
975,405
976,405
977,405
978,405
979,405
980,405
981,405
982,405
1068,405
1069,405
1070,405
1071,405
1072,405
958,406
959,406
960,406
961,406
962,406
963,406
964,406
965,406
966,406
967,406
968,406
969,406
970,406
971,406
972,406
973,406
974,406
975,406
976,406
977,406
978,406
979,406
1069,406
1070,406
1071,406
1072,406
1073,406
953,407
954,407
955,407
956,407
957,407
958,407
959,407
960,407
961,407
962,407
963,407
964,407
965,407
966,407
967,407
968,407
969,407
970,407
971,407
972,407
973,407
1068,407
1069,407
1070,407
1071,407
1072,407
1073,407
945,408
946,408
947,408
948,408
949,408
950,408
951,408
952,408
953,408
954,408
955,408
956,408
957,408
958,408
959,408
960,408
961,408
962,408
963,408
964,408
1066,408
1067,408
1068,408
1069,408
1070,408
1071,408
1072,408
1073,408
1074,408
931,409
932,409
933,409
934,409
935,409
936,409
937,409
938,409
939,409
940,409
941,409
942,409
943,409
944,409
945,409
946,409
947,409
948,409
949,409
950,409
951,409
952,409
953,409
954,409
955,409
956,409
1067,409
1068,409
1069,409
1070,409
1071,409
1072,409
1073,409
1074,409
931,410
932,410
933,410
934,410
935,410
936,410
937,410
938,410
939,410
940,410
941,410
942,410
943,410
944,410
945,410
946,410
947,410
948,410
949,410
950,410
1067,410
1068,410
1069,410
1070,410
1072,410
1073,410
1074,410
1075,410
931,411
932,411
933,411
934,411
935,411
936,411
937,411
938,411
939,411
940,411
1067,411
1068,411
1069,411
1070,411
1073,411
1074,411
1075,411
931,412
932,412
933,412
1067,412
1068,412
1069,412
1073,412
1074,412
1075,412
1076,412
931,413
932,413
1067,413
1068,413
1069,413
1074,413
1075,413
1076,413
930,414
931,414
932,414
1066,414
1067,414
1068,414
1069,414
1074,414
1075,414
1076,414
930,415
931,415
932,415
1064,415
1065,415
1066,415
1067,415
1068,415
1074,415
1075,415
1076,415
930,416
931,416
932,416
1064,416
1065,416
1066,416
1074,416
1075,416
1076,416
929,417
930,417
931,417
932,417
1064,417
1065,417
1074,417
1075,417
1076,417
928,418
929,418
930,418
931,418
1063,418
1064,418
1065,418
1074,418
1075,418
1076,418
927,419
928,419
929,419
930,419
1063,419
1064,419
1074,419
1075,419
1076,419
1077,419
927,420
928,420
929,420
930,420
1063,420
1064,420
1074,420
1075,420
1076,420
1077,420
926,421
927,421
928,421
929,421
1050,421
1051,421
1062,421
1063,421
1064,421
1074,421
1075,421
1076,421
1077,421
926,422
927,422
928,422
1050,422
1051,422
1052,422
1061,422
1062,422
1063,422
1074,422
1075,422
1076,422
1077,422
925,423
926,423
927,423
1050,423
1051,423
1052,423
1053,423
1054,423
1055,423
1056,423
1057,423
1058,423
1059,423
1060,423
1061,423
1062,423
1063,423
1072,423
1073,423
1074,423
1075,423
1076,423
922,424
923,424
924,424
925,424
926,424
927,424
1050,424
1051,424
1052,424
1053,424
1054,424
1055,424
1056,424
1057,424
1058,424
1059,424
1060,424
1061,424
1071,424
1072,424
1073,424
1074,424
1075,424
1076,424
919,425
920,425
921,425
922,425
923,425
924,425
925,425
926,425
1050,425
1051,425
1052,425
1053,425
1054,425
1055,425
1056,425
1057,425
1058,425
1059,425
1069,425
1070,425
1071,425
1072,425
1073,425
1074,425
1075,425
918,426
919,426
920,426
921,426
922,426
923,426
924,426
925,426
926,426
1051,426
1052,426
1053,426
1054,426
1055,426
1068,426
1069,426
1070,426
1071,426
1072,426
1073,426
913,427
917,427
918,427
919,427
920,427
921,427
1053,427
1054,427
1055,427
1067,427
1068,427
1069,427
1070,427
1071,427
912,428
913,428
914,428
915,428
916,428
917,428
918,428
919,428
1053,428
1054,428
1055,428
1065,428
1066,428
1067,428
1068,428
1069,428
1070,428
910,429
911,429
912,429
913,429
914,429
915,429
916,429
917,429
918,429
1053,429
1054,429
1065,429
1066,429
1067,429
1068,429
909,430
910,430
911,430
912,430
913,430
914,430
915,430
916,430
917,430
1052,430
1053,430
1054,430
1064,430
1065,430
1066,430
1067,430
908,431
909,431
910,431
911,431
1052,431
1053,431
1054,431
1063,431
1064,431
1065,431
1066,431
907,432
908,432
909,432
910,432
911,432
1052,432
1053,432
1063,432
1064,432
1065,432
906,433
907,433
908,433
909,433
910,433
1052,433
1053,433
1062,433
1063,433
1064,433
906,434
907,434
908,434
909,434
1051,434
1052,434
1053,434
1054,434
1061,434
1062,434
1063,434
906,435
907,435
908,435
909,435
1051,435
1052,435
1053,435
1054,435
1055,435
1056,435
1057,435
1058,435
1059,435
1060,435
1061,435
1062,435
1063,435
905,436
906,436
907,436
908,436
1052,436
1053,436
1054,436
1055,436
1056,436
1057,436
1058,436
1059,436
1060,436
1061,436
1062,436
905,437
906,437
907,437
908,437
1058,437
