x,y
465,84
466,84
467,84
468,84
469,84
470,84
471,84
464,85
465,85
466,85
467,85
468,85
469,85
470,85
471,85
472,85
473,85
474,85
475,85
476,85
477,85
478,85
479,85
480,85
481,85
482,85
483,85
464,86
465,86
466,86
467,86
468,86
469,86
470,86
471,86
472,86
473,86
474,86
475,86
476,86
477,86
478,86
479,86
480,86
481,86
482,86
483,86
484,86
485,86
486,86
487,86
488,86
489,86
490,86
491,86
492,86
493,86
464,87
465,87
466,87
479,87
480,87
481,87
482,87
483,87
484,87
485,87
486,87
487,87
488,87
489,87
490,87
491,87
492,87
493,87
494,87
495,87
496,87
497,87
498,87
499,87
500,87
501,87
502,87
503,87
504,87
505,87
506,87
507,87
508,87
509,87
510,87
511,87
512,87
513,87
514,87
515,87
516,87
464,88
465,88
466,88
486,88
487,88
488,88
489,88
490,88
491,88
492,88
493,88
494,88
495,88
496,88
497,88
498,88
499,88
500,88
501,88
502,88
503,88
504,88
505,88
506,88
507,88
508,88
509,88
510,88
511,88
512,88
513,88
514,88
515,88
516,88
517,88
518,88
519,88
520,88
521,88
522,88
523,88
524,88
525,88
526,88
527,88
528,88
529,88
530,88
531,88
532,88
533,88
534,88
535,88
464,89
465,89
466,89
492,89
493,89
494,89
495,89
496,89
497,89
498,89
499,89
500,89
501,89
502,89
503,89
504,89
505,89
506,89
507,89
508,89
509,89
510,89
511,89
512,89
513,89
514,89
515,89
516,89
517,89
518,89
519,89
520,89
521,89
522,89
523,89
524,89
525,89
526,89
527,89
528,89
529,89
530,89
531,89
532,89
533,89
534,89
535,89
536,89
537,89
538,89
539,89
540,89
541,89
542,89
543,89
544,89
545,89
546,89
547,89
548,89
549,89
550,89
464,90
465,90
466,90
504,90
505,90
506,90
507,90
508,90
509,90
510,90
511,90
512,90
513,90
514,90
515,90
516,90
517,90
518,90
519,90
520,90
521,90
522,90
523,90
524,90
525,90
526,90
527,90
528,90
529,90
530,90
531,90
532,90
533,90
534,90
535,90
536,90
537,90
538,90
539,90
540,90
541,90
542,90
543,90
544,90
545,90
546,90
547,90
548,90
549,90
550,90
551,90
552,90
553,90
554,90
555,90
556,90
557,90
558,90
559,90
560,90
561,90
562,90
563,90
564,90
565,90
566,90
567,90
568,90
569,90
570,90
571,90
572,90
573,90
574,90
575,90
576,90
577,90
578,90
579,90
580,90
581,90
582,90
464,91
465,91
466,91
532,91
533,91
534,91
535,91
536,91
537,91
538,91
539,91
540,91
541,91
542,91
543,91
544,91
545,91
546,91
547,91
548,91
549,91
550,91
551,91
