x,y
932,258
933,258
930,259
931,259
932,259
933,259
934,259
929,260
930,260
931,260
932,260
933,260
934,260
927,261
928,261
929,261
930,261
931,261
932,261
933,261
934,261
926,262
927,262
928,262
929,262
932,262
933,262
934,262
924,263
925,263
926,263
927,263
928,263
932,263
933,263
934,263
935,263
923,264
924,264
925,264
926,264
932,264
933,264
934,264
935,264
921,265
922,265
923,265
924,265
925,265
932,265
933,265
934,265
935,265
919,266
920,266
921,266
922,266
923,266
932,266
933,266
934,266
935,266
918,267
919,267
920,267
921,267
922,267
932,267
933,267
934,267
935,267
917,268
918,268
919,268
920,268
921,268
932,268
933,268
934,268
935,268
917,269
918,269
919,269
920,269
933,269
934,269
935,269
936,269
916,270
917,270
918,270
933,270
934,270
935,270
936,270
915,271
916,271
917,271
933,271
934,271
935,271
936,271
914,272
915,272
916,272
933,272
934,272
935,272
936,272
913,273
914,273
915,273
934,273
935,273
936,273
874,274
875,274
912,274
913,274
914,274
934,274
935,274
936,274
865,275
866,275
867,275
868,275
869,275
870,275
871,275
872,275
873,275
874,275
875,275
876,275
877,275
910,275
911,275
912,275
913,275
934,275
935,275
936,275
858,276
859,276
860,276
861,276
862,276
863,276
864,276
865,276
866,276
867,276
868,276
869,276
870,276
871,276
872,276
873,276
874,276
875,276
876,276
877,276
878,276
879,276
880,276
906,276
907,276
908,276
909,276
910,276
911,276
912,276
935,276
936,276
853,277
854,277
855,277
856,277
857,277
858,277
859,277
860,277
861,277
862,277
863,277
864,277
865,277
866,277
867,277
868,277
869,277
870,277
877,277
878,277
879,277
880,277
881,277
882,277
883,277
884,277
885,277
886,277
887,277
888,277
889,277
902,277
903,277
904,277
905,277
906,277
907,277
908,277
909,277
910,277
911,277
935,277
936,277
937,277
847,278
848,278
849,278
850,278
851,278
852,278
853,278
854,278
855,278
856,278
857,278
858,278
859,278
860,278
861,278
879,278
880,278
881,278
882,278
883,278
884,278
885,278
886,278
887,278
888,278
889,278
890,278
900,278
901,278
902,278
903,278
904,278
905,278
906,278
907,278
908,278
935,278
936,278
937,278
841,279
842,279
843,279
844,279
845,279
846,279
847,279
848,279
849,279
850,279
851,279
852,279
853,279
854,279
855,279
856,279
882,279
883,279
884,279
885,279
886,279
888,279
889,279
890,279
891,279
897,279
898,279
899,279
900,279
901,279
902,279
903,279
935,279
936,279
937,279
841,280
842,280
843,280
844,280
845,280
846,280
847,280
848,280
849,280
850,280
890,280
891,280
892,280
893,280
894,280
895,280
896,280
897,280
898,280
899,280
900,280
935,280
936,280
937,280
841,281
842,281
843,281
844,281
845,281
846,281
890,281
891,281
892,281
893,281
894,281
895,281
896,281
897,281
898,281
899,281
935,281
936,281
937,281
841,282
842,282
843,282
891,282
892,282
893,282
894,282
895,282
896,282
897,282
898,282
935,282
936,282
937,282
841,283
842,283
843,283
