x,y
85,88
86,88
87,88
88,88
89,88
90,88
82,89
83,89
84,89
85,89
86,89
87,89
88,89
89,89
90,89
91,89
81,90
82,90
83,90
84,90
85,90
86,90
87,90
88,90
89,90
90,90
91,90
80,91
81,91
82,91
83,91
84,91
85,91
86,91
87,91
88,91
89,91
90,91
91,91
92,91
79,92
80,92
81,92
82,92
83,92
84,92
90,92
91,92
92,92
93,92
79,93
80,93
81,93
90,93
91,93
92,93
93,93
94,93
95,93
96,93
78,94
79,94
80,94
91,94
92,94
93,94
94,94
95,94
96,94
97,94
78,95
79,95
80,95
94,95
95,95
96,95
97,95
98,95
78,96
79,96
96,96
97,96
98,96
77,97
78,97
79,97
97,97
98,97
99,97
77,98
78,98
79,98
97,98
98,98
99,98
77,99
78,99
98,99
99,99
76,100
77,100
78,100
98,100
99,100
76,101
77,101
78,101
98,101
99,101
76,102
77,102
98,102
99,102
75,103
76,103
77,103
98,103
99,103
75,104
76,104
77,104
98,104
99,104
74,105
75,105
76,105
77,105
98,105
99,105
74,106
75,106
76,106
98,106
99,106
73,107
74,107
75,107
76,107
98,107
99,107
73,108
74,108
75,108
76,108
97,108
98,108
99,108
73,109
74,109
75,109
97,109
98,109
99,109
72,110
73,110
74,110
75,110
97,110
98,110
99,110
100,110
72,111
73,111
74,111
98,111
99,111
100,111
101,111
102,111
103,111
72,112
73,112
74,112
99,112
100,112
101,112
102,112
103,112
104,112
115,112
116,112
117,112
118,112
71,113
72,113
73,113
101,113
102,113
103,113
104,113
105,113
106,113
113,113
114,113
115,113
116,113
117,113
118,113
119,113
120,113
121,113
122,113
71,114
72,114
103,114
104,114
105,114
106,114
107,114
108,114
109,114
110,114
111,114
112,114
113,114
114,114
115,114
116,114
117,114
118,114
119,114
120,114
121,114
122,114
123,114
124,114
125,114
70,115
71,115
72,115
105,115
106,115
107,115
108,115
109,115
110,115
111,115
112,115
113,115
114,115
115,115
119,115
120,115
121,115
122,115
123,115
124,115
125,115
126,115
127,115
70,116
71,116
72,116
107,116
108,116
109,116
110,116
111,116
112,116
113,116
122,116
123,116
124,116
125,116
126,116
127,116
128,116
129,116
70,117
71,117
124,117
125,117
126,117
127,117
128,117
129,117
130,117
69,118
70,118
71,118
126,118
127,118
128,118
129,118
130,118
131,118
132,118
133,118
134,118
135,118
136,118
137,118
138,118
139,118
140,118
153,118
154,118
155,118
69,119
70,119
71,119
128,119
129,119
130,119
131,119
132,119
133,119
134,119
135,119
136,119
137,119
138,119
139,119
140,119
141,119
151,119
152,119
153,119
154,119
155,119
156,119
68,120
69,120
70,120
130,120
131,120
132,120
133,120
134,120
135,120
136,120
137,120
138,120
139,120
140,120
141,120
142,120
143,120
144,120
145,120
146,120
147,120
148,120
149,120
150,120
151,120
152,120
153,120
154,120
155,120
156,120
157,120
158,120
159,120
160,120
161,120
162,120
163,120
164,120
165,120
166,120
167,120
168,120
169,120
170,120
171,120
172,120
173,120
174,120
175,120
176,120
177,120
178,120
68,121
69,121
70,121
140,121
141,121
142,121
143,121
144,121
145,121
146,121
147,121
148,121
149,121
150,121
151,121
152,121
153,121
154,121
155,121
156,121
157,121
158,121
159,121
160,121
161,121
162,121
163,121
164,121
165,121
166,121
167,121
168,121
169,121
170,121
171,121
172,121
173,121
174,121
175,121
176,121
177,121
178,121
179,121
180,121
181,121
182,121
183,121
184,121
68,122
69,122
142,122
143,122
144,122
145,122
146,122
147,122
148,122
149,122
150,122
167,122
168,122
169,122
170,122
171,122
172,122
173,122
174,122
175,122
176,122
177,122
178,122
179,122
180,122
181,122
182,122
183,122
184,122
185,122
186,122
187,122
188,122
67,123
68,123
69,123
181,123
182,123
183,123
184,123
185,123
186,123
187,123
188,123
189,123
190,123
191,123
192,123
67,124
68,124
69,124
186,124
187,124
188,124
189,124
190,124
191,124
192,124
193,124
194,124
195,124
196,124
66,125
67,125
68,125
190,125
191,125
192,125
193,125
194,125
195,125
196,125
197,125
198,125
199,125
200,125
66,126
67,126
68,126
194,126
195,126
196,126
197,126
198,126
199,126
200,126
201,126
202,126
203,126
204,126
66,127
67,127
198,127
199,127
200,127
201,127
202,127
203,127
204,127
205,127
206,127
207,127
208,127
209,127
65,128
66,128
67,128
202,128
203,128
204,128
205,128
206,128
207,128
208,128
209,128
210,128
211,128
65,129
66,129
67,129
206,129
207,129
208,129
209,129
210,129
211,129
212,129
65,130
66,130
208,130
209,130
210,130
211,130
212,130
65,131
66,131
209,131
210,131
211,131
212,131
213,131
64,132
65,132
66,132
210,132
211,132
212,132
213,132
64,133
65,133
66,133
210,133
211,133
212,133
213,133
64,134
65,134
211,134
212,134
213,134
214,134
63,135
64,135
65,135
212,135
213,135
214,135
215,135
63,136
64,136
212,136
213,136
214,136
215,136
216,136
62,137
63,137
64,137
213,137
214,137
215,137
216,137
217,137
62,138
63,138
64,138
215,138
216,138
217,138
218,138
61,139
62,139
63,139
216,139
217,139
218,139
60,140
61,140
62,140
63,140
216,140
217,140
218,140
60,141
61,141
62,141
216,141
217,141
218,141
59,142
60,142
61,142
62,142
215,142
216,142
217,142
59,143
60,143
61,143
62,143
215,143
216,143
217,143
59,144
60,144
61,144
214,144
215,144
216,144
217,144
58,145
59,145
60,145
61,145
214,145
215,145
216,145
217,145
58,146
59,146
60,146
213,146
214,146
215,146
216,146
57,147
58,147
59,147
212,147
213,147
214,147
215,147
57,148
58,148
59,148
211,148
212,148
213,148
214,148
56,149
57,149
58,149
210,149
211,149
212,149
213,149
56,150
57,150
58,150
209,150
210,150
211,150
212,150
55,151
56,151
57,151
208,151
209,151
210,151
211,151
212,151
55,152
56,152
57,152
207,152
