x,y
1112,218
1113,218
1114,218
1107,219
1108,219
1109,219
1110,219
1111,219
1112,219
1113,219
1114,219
1115,219
1104,220
1105,220
1106,220
1107,220
1108,220
1109,220
1110,220
1111,220
1112,220
1113,220
1114,220
1115,220
1116,220
1104,221
1105,221
1106,221
1107,221
1108,221
1109,221
1114,221
1115,221
1116,221
1117,221
1104,222
1105,222
1106,222
1115,222
1116,222
1117,222
1118,222
1104,223
1105,223
1106,223
1116,223
1117,223
1118,223
1105,224
1106,224
1107,224
1117,224
1118,224
1119,224
1105,225
1106,225
1107,225
1117,225
1118,225
1119,225
1120,225
1105,226
1106,226
1107,226
1118,226
1119,226
1120,226
1105,227
1106,227
1107,227
1118,227
1119,227
1120,227
1121,227
1105,228
1106,228
1107,228
1119,228
1120,228
1121,228
1106,229
1107,229
1120,229
1121,229
1122,229
1106,230
1107,230
1108,230
1120,230
1121,230
1122,230
1123,230
1106,231
1107,231
1108,231
1121,231
1122,231
1123,231
1106,232
1107,232
1108,232
1121,232
1122,232
1123,232
1107,233
1108,233
1119,233
1120,233
1121,233
1122,233
1123,233
1107,234
1108,234
1109,234
1117,234
1118,234
1119,234
1120,234
1121,234
1122,234
1107,235
1108,235
1109,235
1116,235
1117,235
1118,235
1119,235
1120,235
1107,236
1108,236
1109,236
1115,236
1116,236
1117,236
1118,236
1108,237
1109,237
1110,237
1114,237
1115,237
1116,237
1117,237
1108,238
1109,238
1110,238
1111,238
1112,238
1113,238
1114,238
1115,238
1116,238
1110,239
1111,239
1112,239
1113,239
1114,239
