x,y
1005,320
1006,320
1007,320
1008,320
992,321
993,321
1005,321
1006,321
1007,321
1008,321
1009,321
1010,321
991,322
992,322
993,322
994,322
995,322
1005,322
1006,322
1007,322
1008,322
1009,322
1010,322
991,323
992,323
993,323
994,323
995,323
996,323
1005,323
1006,323
1007,323
1008,323
1009,323
1010,323
1011,323
991,324
992,324
993,324
994,324
995,324
996,324
997,324
998,324
1005,324
1006,324
1007,324
1009,324
1010,324
1011,324
991,325
992,325
993,325
994,325
995,325
996,325
997,325
998,325
999,325
1000,325
1001,325
1002,325
1004,325
1005,325
1006,325
1009,325
1010,325
1011,325
991,326
992,326
993,326
997,326
998,326
999,326
1000,326
1001,326
1002,326
1003,326
1004,326
1005,326
1006,326
1009,326
1010,326
1011,326
1012,326
1020,326
1021,326
1022,326
991,327
992,327
993,327
999,327
1000,327
1001,327
1002,327
1003,327
1004,327
1005,327
1006,327
1009,327
1010,327
1011,327
1012,327
1013,327
1014,327
1015,327
1016,327
1017,327
1018,327
1019,327
1020,327
1021,327
1022,327
1023,327
991,328
992,328
993,328
1002,328
1003,328
1004,328
1005,328
1006,328
1010,328
1011,328
1012,328
1013,328
1014,328
1015,328
1016,328
1017,328
1018,328
1019,328
1020,328
1021,328
1022,328
1023,328
1024,328
991,329
992,329
993,329
1005,329
1014,329
1015,329
1016,329
1017,329
1018,329
1019,329
1020,329
1021,329
1022,329
1023,329
1024,329
990,330
991,330
992,330
1019,330
1020,330
1021,330
1022,330
1023,330
1024,330
990,331
991,331
992,331
1020,331
1021,331
1022,331
1023,331
1024,331
989,332
990,332
991,332
1021,332
1022,332
1023,332
988,333
989,333
990,333
991,333
1021,333
1022,333
1023,333
987,334
988,334
989,334
990,334
1021,334
1022,334
1023,334
986,335
987,335
988,335
989,335
990,335
1021,335
1022,335
1023,335
986,336
987,336
988,336
989,336
1021,336
1022,336
1023,336
985,337
986,337
987,337
988,337
989,337
1020,337
1021,337
1022,337
985,338
986,338
987,338
988,338
1020,338
1021,338
1022,338
984,339
985,339
986,339
987,339
1019,339
1020,339
1021,339
983,340
984,340
985,340
986,340
1019,340
1020,340
1021,340
983,341
984,341
985,341
1019,341
1020,341
980,342
981,342
982,342
983,342
984,342
1019,342
1020,342
980,343
981,343
982,343
983,343
984,343
1019,343
1020,343
979,344
980,344
981,344
982,344
1019,344
1020,344
1021,344
979,345
980,345
981,345
1019,345
1020,345
1021,345
1022,345
1023,345
1024,345
1025,345
979,346
980,346
1020,346
1021,346
1022,346
1023,346
1024,346
1025,346
1026,346
1027,346
1028,346
1029,346
1030,346
1031,346
1032,346
1033,346
1034,346
978,347
979,347
980,347
1023,347
1024,347
1025,347
1026,347
1027,347
1028,347
1029,347
1030,347
1031,347
1032,347
1033,347
1034,347
1035,347
1036,347
1037,347
1038,347
1039,347
1057,347
1058,347
1059,347
1060,347
1061,347
1062,347
978,348
979,348
980,348
1028,348
1029,348
1030,348
1031,348
1032,348
1033,348
1034,348
1035,348
1036,348
1037,348
1038,348
1039,348
1056,348
1057,348
1058,348
1059,348
1060,348
1061,348
1062,348
968,349
969,349
970,349
978,349
979,349
1037,349
1038,349
1039,349
1056,349
1057,349
1058,349
1061,349
1062,349
968,350
969,350
970,350
971,350
977,350
978,350
979,350
1038,350
1039,350
1056,350
1057,350
1061,350
1062,350
967,351
968,351
969,351
970,351
971,351
977,351
978,351
979,351
1038,351
1039,351
1056,351
1057,351
1061,351
1062,351
967,352
968,352
969,352
970,352
971,352
972,352
973,352
975,352
976,352
977,352
978,352
979,352
1038,352
1039,352
1040,352
1041,352
1056,352
1057,352
1060,352
1061,352
1062,352
967,353
968,353
969,353
970,353
971,353
972,353
973,353
974,353
975,353
976,353
977,353
978,353
979,353
1038,353
1039,353
1040,353
1041,353
1042,353
1043,353
1044,353
1055,353
1056,353
1057,353
1059,353
1060,353
1061,353
967,354
968,354
969,354
971,354
972,354
973,354
974,354
975,354
976,354
977,354
978,354
1039,354
1040,354
1041,354
1042,354
1043,354
1044,354
1045,354
1054,354
1055,354
1056,354
1059,354
1060,354
1061,354
967,355
968,355
1043,355
1044,355
1045,355
1054,355
1055,355
1058,355
1059,355
1060,355
967,356
968,356
1043,356
1044,356
1045,356
1053,356
1054,356
1055,356
1058,356
1059,356
1060,356
967,357
968,357
1043,357
1044,357
1045,357
1053,357
1054,357
1058,357
1059,357
966,358
967,358
968,358
1043,358
1044,358
1045,358
1052,358
1053,358
1054,358
1058,358
1059,358
966,359
967,359
968,359
1043,359
1044,359
1045,359
1052,359
1053,359
1054,359
1058,359
1059,359
965,360
966,360
967,360
1043,360
1044,360
1045,360
1052,360
1053,360
1058,360
1059,360
965,361
966,361
967,361
1044,361
1045,361
1046,361
1052,361
1053,361
1058,361
1059,361
965,362
966,362
967,362
1045,362
1046,362
1051,362
1052,362
1053,362
1058,362
1059,362
964,363
965,363
966,363
1045,363
1046,363
1051,363
1052,363
1053,363
1058,363
1059,363
1060,363
964,364
965,364
966,364
1045,364
1046,364
1051,364
1052,364
1053,364
1058,364
1059,364
1060,364
964,365
965,365
966,365
1045,365
1046,365
1047,365
1051,365
1052,365
1053,365
1058,365
1059,365
1060,365
963,366
964,366
965,366
1045,366
1046,366
1047,366
1051,366
1052,366
1053,366
1058,366
1059,366
963,367
964,367
965,367
1042,367
1043,367
1044,367
1045,367
1046,367
1047,367
1051,367
1052,367
1053,367
1057,367
1058,367
1059,367
963,368
964,368
965,368
1041,368
1042,368
1043,368
1044,368
1045,368
1046,368
1047,368
1051,368
1052,368
1053,368
1056,368
1057,368
1058,368
1059,368
962,369
963,369
964,369
1042,369
1043,369
1044,369
1045,369
1051,369
1052,369
1053,369
1056,369
1057,369
1058,369
961,370
962,370
963,370
964,370
1042,370
1043,370
1044,370
1045,370
1046,370
1052,370
1053,370
1055,370
1056,370
1057,370
1058,370
960,371
961,371
962,371
963,371
1044,371
1045,371
1046,371
1047,371
1052,371
1053,371
1054,371
1055,371
1056,371
1057,371
1058,371
960,372
961,372
962,372
963,372
1045,372
1046,372
1047,372
1052,372
1053,372
1054,372
1055,372
1056,372
1057,372
959,373
960,373
961,373
962,373
1046,373
1047,373
1048,373
1053,373
1054,373
1055,373
959,374
960,374
961,374
962,374
1046,374
1047,374
1048,374
1049,374
1053,374
1054,374
958,375
959,375
960,375
961,375
1047,375
1048,375
1049,375
958,376
959,376
960,376
961,376
1048,376
1049,376
958,377
959,377
960,377
961,377
962,377
1048,377
1049,377
959,378
960,378
961,378
962,378
1047,378
1048,378
1049,378
959,379
960,379
961,379
962,379
1046,379
1047,379
1048,379
1049,379
959,380
960,380
961,380
962,380
1045,380
1046,380
1047,380
1048,380
1049,380
1051,380
1052,380
1053,380
1054,380
1055,380
958,381
959,381
960,381
961,381
1045,381
1046,381
1047,381
1048,381
1049,381
1050,381
1051,381
1052,381
1053,381
1054,381
1055,381
1056,381
1057,381
957,382
958,382
959,382
960,382
1046,382
1047,382
1048,382
1049,382
1050,382
1051,382
1052,382
1054,382
1055,382
1056,382
1057,382
1058,382
957,383
958,383
959,383
1048,383
1049,383
1055,383
1056,383
1057,383
1058,383
953,384
954,384
955,384
956,384
957,384
958,384
1056,384
1057,384
1058,384
1059,384
952,385
953,385
954,385
955,385
956,385
957,385
958,385
1057,385
1058,385
1059,385
946,386
947,386
948,386
949,386
950,386
951,386
952,386
953,386
954,386
955,386
956,386
957,386
1057,386
1058,386
1059,386
1060,386
920,387
921,387
922,387
946,387
947,387
948,387
949,387
950,387
951,387
952,387
953,387
1054,387
1055,387
1056,387
1057,387
1058,387
1059,387
1060,387
1061,387
918,388
919,388
920,388
921,388
922,388
923,388
945,388
946,388
947,388
948,388
949,388
950,388
951,388
1050,388
1051,388
1052,388
1053,388
1054,388
1055,388
1056,388
1057,388
1058,388
1059,388
1060,388
1061,388
918,389
919,389
920,389
921,389
922,389
923,389
945,389
946,389
947,389
1044,389
1045,389
1046,389
1047,389
1048,389
1049,389
1050,389
1051,389
1052,389
1053,389
1054,389
1055,389
1056,389
1057,389
917,390
918,390
919,390
920,390
921,390
922,390
923,390
924,390
944,390
945,390
946,390
1039,390
1040,390
1041,390
1042,390
1043,390
1044,390
1045,390
1046,390
1047,390
1048,390
1049,390
1050,390
1051,390
1052,390
917,391
918,391
919,391
920,391
921,391
922,391
923,391
924,391
925,391
937,391
944,391
945,391
946,391
1036,391
1037,391
1038,391
1039,391
1040,391
1041,391
1042,391
1043,391
1044,391
1045,391
1046,391
1047,391
1048,391
916,392
917,392
918,392
919,392
920,392
922,392
923,392
924,392
925,392
936,392
937,392
938,392
943,392
944,392
945,392
946,392
1034,392
1035,392
1036,392
1037,392
1038,392
1039,392
1040,392
1041,392
1042,392
1043,392
1044,392
1045,392
1046,392
915,393
916,393
917,393
918,393
923,393
924,393
925,393
926,393
933,393
934,393
935,393
936,393
937,393
938,393
939,393
940,393
941,393
942,393
943,393
944,393
945,393
1028,393
1029,393
1030,393
1031,393
1032,393
1033,393
1034,393
1035,393
1036,393
1037,393
1038,393
1039,393
1040,393
1041,393
1042,393
915,394
916,394
917,394
924,394
925,394
926,394
927,394
928,394
931,394
932,394
933,394
934,394
935,394
936,394
937,394
938,394
939,394
940,394
941,394
942,394
943,394
944,394
1024,394
1025,394
1026,394
1027,394
1028,394
1029,394
1030,394
1031,394
1032,394
1033,394
1034,394
1035,394
1036,394
1037,394
914,395
915,395
916,395
925,395
926,395
927,395
928,395
929,395
930,395
931,395
932,395
933,395
934,395
935,395
939,395
940,395
941,395
942,395
1020,395
1021,395
1022,395
1023,395
1024,395
1025,395
1026,395
1027,395
1028,395
1029,395
1030,395
1031,395
1032,395
913,396
914,396
915,396
927,396
928,396
929,396
930,396
931,396
932,396
933,396
1014,396
1015,396
1016,396
1017,396
1018,396
1019,396
1020,396
1021,396
1022,396
1023,396
1024,396
1025,396
1026,396
1027,396
912,397
913,397
914,397
1009,397
1010,397
1011,397
1012,397
1013,397
1014,397
1015,397
1016,397
1017,397
1018,397
1019,397
1020,397
1021,397
1022,397
911,398
912,398
913,398
914,398
1005,398
1006,398
1007,398
1008,398
1009,398
1010,398
1011,398
1012,398
1013,398
1014,398
1015,398
1016,398
1017,398
910,399
911,399
912,399
913,399
998,399
999,399
1000,399
1001,399
1002,399
1003,399
1004,399
1005,399
1006,399
1007,399
1008,399
1009,399
1010,399
1011,399
1012,399
909,400
910,400
911,400
912,400
994,400
995,400
996,400
997,400
998,400
999,400
1000,400
1001,400
1002,400
1003,400
1004,400
1005,400
1006,400
1007,400
908,401
909,401
910,401
911,401
990,401
991,401
992,401
993,401
994,401
995,401
996,401
997,401
998,401
999,401
1000,401
1001,401
1002,401
907,402
908,402
909,402
910,402
982,402
983,402
984,402
985,402
986,402
987,402
988,402
989,402
990,402
991,402
992,402
993,402
994,402
995,402
996,402
997,402
906,403
907,403
908,403
909,403
976,403
977,403
978,403
979,403
980,403
981,403
982,403
983,403
984,403
985,403
986,403
987,403
988,403
989,403
990,403
991,403
992,403
905,404
906,404
907,404
908,404
968,404
969,404
970,404
971,404
972,404
973,404
974,404
975,404
976,404
977,404
978,404
979,404
980,404
981,404
982,404
983,404
984,404
985,404
904,405
905,405
906,405
907,405
908,405
962,405
963,405
964,405
965,405
966,405
967,405
968,405
969,405
970,405
971,405
972,405
973,405
974,405
975,405
976,405
977,405
978,405
979,405
980,405
981,405
982,405
904,406
905,406
906,406
907,406
958,406
959,406
960,406
961,406
962,406
963,406
964,406
965,406
966,406
967,406
968,406
969,406
970,406
971,406
972,406
973,406
974,406
975,406
976,406
977,406
978,406
979,406
904,407
905,407
906,407
907,407
953,407
954,407
955,407
956,407
957,407
958,407
959,407
960,407
961,407
962,407
963,407
964,407
965,407
966,407
967,407
968,407
969,407
970,407
971,407
972,407
973,407
904,408
905,408
906,408
907,408
945,408
946,408
947,408
948,408
949,408
950,408
951,408
952,408
953,408
954,408
955,408
956,408
957,408
958,408
959,408
960,408
961,408
962,408
963,408
964,408
902,409
903,409
904,409
905,409
906,409
928,409
929,409
930,409
931,409
932,409
933,409
934,409
935,409
936,409
937,409
938,409
939,409
940,409
941,409
942,409
943,409
944,409
945,409
946,409
947,409
948,409
949,409
950,409
951,409
952,409
953,409
954,409
955,409
956,409
900,410
901,410
902,410
903,410
904,410
905,410
927,410
928,410
929,410
930,410
931,410
932,410
933,410
934,410
935,410
936,410
937,410
938,410
939,410
940,410
941,410
942,410
943,410
944,410
945,410
946,410
947,410
948,410
949,410
950,410
898,411
899,411
900,411
901,411
902,411
903,411
924,411
925,411
926,411
927,411
928,411
929,411
930,411
931,411
932,411
933,411
934,411
935,411
936,411
937,411
938,411
939,411
940,411
897,412
898,412
899,412
900,412
901,412
902,412
909,412
910,412
911,412
912,412
913,412
914,412
915,412
916,412
917,412
918,412
919,412
920,412
921,412
922,412
923,412
924,412
925,412
926,412
927,412
928,412
895,413
896,413
897,413
898,413
899,413
900,413
901,413
902,413
903,413
904,413
905,413
906,413
907,413
908,413
909,413
910,413
911,413
912,413
913,413
914,413
915,413
916,413
917,413
918,413
919,413
920,413
921,413
922,413
923,413
924,413
925,413
926,413
927,413
895,414
896,414
897,414
898,414
899,414
900,414
901,414
902,414
903,414
904,414
905,414
906,414
907,414
908,414
909,414
910,414
911,414
912,414
913,414
914,414
895,415
896,415
897,415
898,415
899,415
900,415
901,415
902,415
903,415
904,415
905,415
906,415
895,416
896,416
897,416
898,416
899,416
