x,y
937,296
938,296
939,296
940,296
937,297
938,297
939,297
940,297
936,298
937,298
938,298
939,298
940,298
941,298
936,299
937,299
938,299
939,299
940,299
941,299
936,300
937,300
938,300
939,300
940,300
941,300
936,301
937,301
938,301
939,301
940,301
941,301
937,302
938,302
939,302
940,302
941,302
942,302
937,303
938,303
939,303
940,303
941,303
942,303
937,304
938,304
939,304
940,304
941,304
942,304
937,305
938,305
939,305
940,305
941,305
942,305
937,306
938,306
939,306
940,306
941,306
942,306
937,307
938,307
939,307
941,307
942,307
937,308
938,308
939,308
941,308
942,308
943,308
937,309
938,309
939,309
941,309
942,309
943,309
937,310
938,310
939,310
941,310
942,310
943,310
937,311
938,311
939,311
941,311
942,311
943,311
937,312
938,312
939,312
941,312
942,312
943,312
993,312
994,312
995,312
996,312
937,313
938,313
939,313
941,313
942,313
943,313
991,313
992,313
993,313
994,313
995,313
996,313
997,313
937,314
938,314
939,314
942,314
943,314
944,314
990,314
991,314
992,314
993,314
994,314
995,314
996,314
997,314
998,314
999,314
937,315
938,315
942,315
943,315
944,315
989,315
990,315
991,315
992,315
993,315
996,315
997,315
998,315
999,315
1000,315
1001,315
937,316
938,316
942,316
943,316
944,316
962,316
963,316
964,316
965,316
966,316
967,316
987,316
988,316
989,316
990,316
991,316
992,316
997,316
998,316
999,316
1000,316
1001,316
1002,316
1003,316
937,317
938,317
942,317
943,317
944,317
954,317
955,317
956,317
957,317
958,317
959,317
960,317
961,317
962,317
963,317
964,317
965,317
966,317
967,317
981,317
982,317
983,317
984,317
985,317
986,317
987,317
988,317
989,317
990,317
999,317
1000,317
1001,317
1002,317
1003,317
1004,317
936,318
937,318
938,318
942,318
943,318
944,318
945,318
946,318
947,318
948,318
949,318
950,318
951,318
952,318
953,318
954,318
955,318
956,318
957,318
958,318
959,318
960,318
961,318
962,318
963,318
964,318
965,318
966,318
967,318
980,318
981,318
982,318
983,318
984,318
985,318
986,318
987,318
988,318
989,318
1001,318
1002,318
1003,318
1004,318
1005,318
936,319
937,319
938,319
943,319
944,319
945,319
946,319
947,319
948,319
949,319
950,319
951,319
952,319
953,319
954,319
955,319
956,319
957,319
958,319
959,319
965,319
966,319
967,319
979,319
980,319
981,319
982,319
983,319
984,319
985,319
986,319
987,319
1003,319
1004,319
1005,319
1006,319
936,320
937,320
938,320
943,320
944,320
945,320
946,320
947,320
948,320
949,320
950,320
951,320
966,320
967,320
978,320
979,320
980,320
981,320
1004,320
1005,320
1006,320
936,321
937,321
938,321
966,321
967,321
968,321
977,321
978,321
979,321
980,321
992,321
993,321
1005,321
1006,321
936,322
937,322
938,322
966,322
967,322
968,322
974,322
975,322
976,322
977,322
978,322
979,322
991,322
