x,y
726,435
727,435
728,435
729,435
730,435
731,435
732,435
733,435
734,435
735,435
736,435
737,435
738,435
739,435
740,435
741,435
742,435
743,435
744,435
697,436
698,436
699,436
700,436
701,436
702,436
703,436
704,436
705,436
706,436
707,436
708,436
709,436
710,436
711,436
712,436
713,436
714,436
715,436
716,436
717,436
718,436
719,436
720,436
721,436
722,436
723,436
724,436
725,436
726,436
727,436
728,436
729,436
730,436
731,436
732,436
733,436
734,436
735,436
736,436
737,436
738,436
739,436
740,436
741,436
742,436
743,436
744,436
745,436
667,437
668,437
669,437
670,437
671,437
672,437
673,437
674,437
675,437
676,437
677,437
678,437
679,437
680,437
681,437
682,437
683,437
684,437
685,437
686,437
687,437
688,437
689,437
690,437
691,437
692,437
693,437
694,437
695,437
696,437
697,437
698,437
699,437
700,437
701,437
702,437
703,437
704,437
705,437
706,437
707,437
708,437
709,437
710,437
711,437
712,437
713,437
714,437
715,437
716,437
717,437
718,437
719,437
720,437
721,437
722,437
723,437
724,437
725,437
726,437
727,437
728,437
729,437
730,437
731,437
732,437
733,437
734,437
735,437
736,437
737,437
738,437
739,437
740,437
741,437
742,437
743,437
744,437
745,437
646,438
647,438
648,438
649,438
650,438
651,438
652,438
653,438
654,438
655,438
656,438
657,438
658,438
659,438
660,438
661,438
662,438
663,438
664,438
665,438
666,438
667,438
668,438
669,438
670,438
671,438
672,438
673,438
674,438
675,438
676,438
677,438
678,438
679,438
680,438
681,438
682,438
683,438
684,438
685,438
686,438
687,438
688,438
689,438
690,438
691,438
692,438
693,438
694,438
695,438
696,438
697,438
698,438
699,438
700,438
701,438
702,438
703,438
704,438
705,438
706,438
707,438
708,438
709,438
710,438
711,438
712,438
713,438
714,438
715,438
716,438
717,438
718,438
719,438
720,438
721,438
722,438
723,438
724,438
743,438
744,438
745,438
746,438
643,439
644,439
645,439
646,439
647,439
648,439
649,439
650,439
651,439
652,439
653,439
654,439
655,439
656,439
657,439
658,439
659,439
660,439
661,439
662,439
663,439
664,439
665,439
666,439
667,439
668,439
669,439
670,439
671,439
672,439
673,439
674,439
675,439
676,439
677,439
678,439
679,439
680,439
681,439
682,439
683,439
684,439
685,439
686,439
687,439
688,439
689,439
690,439
691,439
692,439
693,439
694,439
744,439
745,439
746,439
747,439
643,440
644,440
645,440
646,440
647,440
648,440
649,440
650,440
651,440
652,440
653,440
745,440
746,440
747,440
643,441
644,441
645,441
745,441
746,441
747,441
643,442
644,442
645,442
745,442
746,442
747,442
643,443
644,443
645,443
744,443
745,443
746,443
644,444
645,444
646,444
743,444
744,444
745,444
746,444
644,445
645,445
646,445
741,445
742,445
743,445
744,445
745,445
644,446
645,446
646,446
740,446
741,446
742,446
743,446
744,446
745,446
644,447
645,447
646,447
740,447
741,447
742,447
743,447
744,447
644,448
645,448
646,448
740,448
741,448
742,448
743,448
645,449
646,449
739,449
740,449
741,449
742,449
