x,y
1046,298
1047,298
1048,298
1049,298
1044,299
1045,299
1046,299
1047,299
1048,299
1049,299
1042,300
1043,300
1044,300
1045,300
1046,300
1047,300
1048,300
1049,300
1040,301
1041,301
1042,301
1043,301
1044,301
1045,301
1047,301
1048,301
1049,301
1040,302
1041,302
1042,302
1043,302
1044,302
1047,302
1048,302
1049,302
1040,303
1041,303
1042,303
1043,303
1044,303
1047,303
1048,303
1049,303
1041,304
1042,304
1043,304
1044,304
1047,304
1048,304
1049,304
1041,305
1042,305
1043,305
1044,305
1047,305
1048,305
1049,305
1042,306
1043,306
1044,306
1045,306
1047,306
1048,306
1049,306
1042,307
1043,307
1044,307
1045,307
1047,307
1048,307
1049,307
1050,307
1043,308
1044,308
1045,308
1046,308
1048,308
1049,308
1050,308
1043,309
1044,309
1045,309
1046,309
1048,309
1049,309
1050,309
1051,309
1044,310
1045,310
1046,310
1049,310
1050,310
1051,310
1052,310
1044,311
1045,311
1046,311
1050,311
1051,311
1052,311
1053,311
1045,312
1046,312
1047,312
1051,312
1052,312
1053,312
1054,312
1045,313
1046,313
1047,313
1052,313
1053,313
1054,313
1055,313
1045,314
1046,314
1047,314
1052,314
1053,314
1054,314
1055,314
1046,315
1047,315
1048,315
1053,315
1054,315
1055,315
1046,316
1047,316
1048,316
1053,316
1054,316
1055,316
1046,317
1047,317
1048,317
1054,317
1055,317
1056,317
1047,318
1048,318
1049,318
1054,318
1055,318
1056,318
1057,318
1047,319
1048,319
1049,319
1055,319
1056,319
1057,319
1047,320
1048,320
1049,320
1055,320
1056,320
1057,320
1058,320
1047,321
1048,321
1049,321
1055,321
1056,321
1057,321
1058,321
1048,322
1049,322
1056,322
1057,322
1058,322
1059,322
1048,323
1049,323
1056,323
1057,323
1058,323
1059,323
1060,323
1048,324
1049,324
1050,324
1057,324
1058,324
1059,324
1060,324
1061,324
1062,324
1048,325
1049,325
1050,325
1059,325
1060,325
1061,325
1062,325
1063,325
1064,325
1048,326
1049,326
1050,326
1061,326
1062,326
1063,326
1064,326
1048,327
1049,327
1050,327
1062,327
1063,327
1064,327
1049,328
1050,328
1063,328
1064,328
1065,328
1049,329
1050,329
1051,329
1063,329
1064,329
1065,329
1049,330
1050,330
1051,330
1064,330
1065,330
1049,331
1050,331
1051,331
1064,331
1065,331
1050,332
1051,332
1052,332
1064,332
1065,332
1066,332
1050,333
1051,333
1052,333
1063,333
1064,333
1065,333
1066,333
1050,334
1051,334
1052,334
1053,334
1054,334
1055,334
1056,334
1057,334
1058,334
1059,334
1060,334
1061,334
1062,334
1063,334
1064,334
1065,334
1066,334
1051,335
1052,335
1053,335
1054,335
1055,335
1056,335
1057,335
1058,335
1059,335
1060,335
1061,335
1062,335
1063,335
1064,335
1065,335
1051,336
1052,336
1053,336
1054,336
1055,336
1056,336
1057,336
1058,336
1059,336
1060,336
1061,336
1051,337
1052,337
1053,337
1054,337
1055,337
1056,337
1057,337
1058,337
