x,y
628,80
629,80
630,80
631,80
627,81
628,81
629,81
630,81
631,81
632,81
633,81
634,81
635,81
627,82
628,82
629,82
631,82
632,82
633,82
634,82
635,82
627,83
628,83
633,83
634,83
635,83
627,84
628,84
633,84
634,84
635,84
627,85
628,85
633,85
634,85
635,85
636,85
627,86
628,86
634,86
635,86
636,86
627,87
628,87
634,87
635,87
636,87
627,88
628,88
634,88
635,88
636,88
627,89
628,89
635,89
636,89
626,90
627,90
628,90
635,90
636,90
589,91
590,91
591,91
592,91
593,91
594,91
595,91
596,91
597,91
598,91
599,91
600,91
601,91
602,91
603,91
604,91
605,91
606,91
607,91
608,91
609,91
610,91
611,91
612,91
613,91
614,91
615,91
616,91
617,91
618,91
619,91
620,91
621,91
622,91
623,91
624,91
625,91
626,91
627,91
628,91
635,91
636,91
637,91
589,92
590,92
591,92
592,92
593,92
594,92
595,92
596,92
597,92
598,92
599,92
600,92
601,92
602,92
603,92
604,92
605,92
606,92
607,92
608,92
609,92
610,92
611,92
612,92
613,92
614,92
615,92
616,92
617,92
618,92
619,92
620,92
621,92
622,92
623,92
624,92
625,92
626,92
627,92
628,92
635,92
636,92
637,92
589,93
590,93
591,93
636,93
637,93
589,94
590,94
591,94
636,94
637,94
589,95
590,95
591,95
636,95
637,95
638,95
589,96
590,96
591,96
592,96
636,96
637,96
638,96
590,97
591,97
592,97
637,97
638,97
639,97
590,98
591,98
592,98
637,98
638,98
639,98
640,98
641,98
642,98
643,98
644,98
645,98
590,99
591,99
592,99
638,99
639,99
640,99
641,99
642,99
643,99
644,99
645,99
646,99
663,99
664,99
665,99
666,99
590,100
591,100
592,100
644,100
645,100
646,100
647,100
648,100
649,100
650,100
651,100
652,100
653,100
654,100
661,100
662,100
663,100
664,100
665,100
666,100
667,100
668,100
669,100
670,100
590,101
591,101
592,101
645,101
646,101
647,101
648,101
649,101
650,101
651,101
652,101
653,101
654,101
660,101
661,101
662,101
663,101
664,101
665,101
666,101
667,101
668,101
669,101
670,101
671,101
672,101
590,102
591,102
592,102
651,102
652,102
653,102
654,102
655,102
659,102
660,102
661,102
662,102
667,102
668,102
669,102
670,102
671,102
672,102
673,102
590,103
591,103
653,103
654,103
655,103
656,103
657,103
658,103
659,103
660,103
661,103
662,103
670,103
671,103
672,103
673,103
674,103
675,103
590,104
591,104
653,104
654,104
655,104
656,104
657,104
658,104
659,104
660,104
661,104
672,104
673,104
674,104
675,104
676,104
677,104
589,105
590,105
591,105
653,105
654,105
655,105
656,105
657,105
658,105
659,105
660,105
661,105
673,105
674,105
675,105
676,105
677,105
678,105
679,105
589,106
590,106
591,106
676,106
677,106
678,106
679,106
680,106
681,106
685,106
686,106
687,106
589,107
590,107
591,107
678,107
679,107
680,107
681,107
682,107
683,107
684,107
685,107
686,107
687,107
688,107
589,108
590,108
591,108
680,108
681,108
682,108
683,108
684,108
685,108
686,108
687,108
688,108
689,108
589,109
590,109
591,109
683,109
684,109
685,109
686,109
687,109
688,109
689,109
707,109
708,109
709,109
710,109
711,109
589,110
590,110
591,110
687,110
688,110
689,110
690,110
691,110
692,110
693,110
706,110
707,110
708,110
709,110
710,110
711,110
589,111
590,111
591,111
688,111
689,111
690,111
691,111
692,111
693,111
694,111
705,111
706,111
707,111
708,111
709,111
710,111
711,111
712,111
714,111
715,111
716,111
717,111
718,111
719,111
720,111
721,111
722,111
723,111
724,111
725,111
726,111
589,112
590,112
591,112
690,112
691,112
692,112
693,112
694,112
704,112
705,112
706,112
710,112
711,112
712,112
713,112
714,112
715,112
716,112
717,112
718,112
719,112
720,112
721,112
722,112
723,112
724,112
725,112
726,112
589,113
590,113
591,113
693,113
694,113
695,113
696,113
702,113
703,113
704,113
705,113
711,113
712,113
713,113
714,113
715,113
716,113
717,113
718,113
719,113
725,113
726,113
727,113
730,113
731,113
732,113
733,113
734,113
735,113
736,113
589,114
590,114
591,114
693,114
694,114
695,114
696,114
697,114
698,114
699,114
700,114
701,114
702,114
703,114
704,114
712,114
713,114
726,114
727,114
728,114
729,114
730,114
731,114
732,114
733,114
734,114
735,114
736,114
589,115
590,115
591,115
694,115
695,115
696,115
697,115
698,115
699,115
700,115
701,115
702,115
703,115
726,115
727,115
728,115
729,115
730,115
731,115
732,115
733,115
734,115
735,115
589,116
590,116
591,116
697,116
698,116
699,116
700,116
727,116
728,116
729,116
733,116
734,116
735,116
590,117
591,117
592,117
732,117
733,117
734,117
735,117
590,118
591,118
592,118
728,118
729,118
730,118
731,118
732,118
733,118
734,118
590,119
591,119
592,119
593,119
727,119
728,119
729,119
730,119
731,119
