x,y
700,320
701,320
702,320
703,320
667,321
668,321
669,321
670,321
671,321
672,321
673,321
674,321
675,321
676,321
677,321
678,321
679,321
680,321
681,321
682,321
683,321
684,321
685,321
686,321
687,321
688,321
689,321
690,321
691,321
692,321
693,321
694,321
695,321
696,321
697,321
698,321
699,321
700,321
701,321
702,321
703,321
704,321
647,322
648,322
649,322
650,322
651,322
652,322
653,322
654,322
655,322
656,322
657,322
658,322
659,322
660,322
661,322
662,322
663,322
664,322
665,322
666,322
667,322
668,322
669,322
670,322
671,322
672,322
673,322
674,322
675,322
676,322
677,322
678,322
679,322
680,322
681,322
682,322
683,322
684,322
685,322
686,322
687,322
688,322
689,322
690,322
691,322
692,322
693,322
694,322
695,322
696,322
697,322
698,322
699,322
700,322
701,322
702,322
703,322
704,322
632,323
633,323
634,323
635,323
636,323
637,323
638,323
639,323
640,323
641,323
642,323
643,323
644,323
645,323
646,323
647,323
648,323
649,323
650,323
651,323
652,323
653,323
654,323
655,323
656,323
657,323
658,323
659,323
660,323
661,323
662,323
663,323
664,323
665,323
666,323
667,323
668,323
669,323
670,323
671,323
672,323
673,323
674,323
675,323
676,323
677,323
678,323
679,323
680,323
681,323
682,323
683,323
684,323
685,323
686,323
687,323
688,323
689,323
690,323
691,323
692,323
693,323
694,323
695,323
696,323
697,323
698,323
699,323
700,323
701,323
702,323
703,323
704,323
619,324
620,324
621,324
622,324
623,324
624,324
625,324
626,324
627,324
628,324
629,324
630,324
631,324
632,324
633,324
634,324
635,324
636,324
637,324
638,324
639,324
640,324
641,324
642,324
643,324
644,324
645,324
646,324
647,324
648,324
649,324
650,324
651,324
652,324
653,324
654,324
655,324
656,324
657,324
658,324
659,324
660,324
661,324
662,324
663,324
664,324
665,324
666,324
667,324
668,324
669,324
670,324
671,324
672,324
673,324
674,324
675,324
676,324
677,324
678,324
679,324
680,324
681,324
682,324
683,324
684,324
685,324
686,324
702,324
703,324
704,324
705,324
618,325
619,325
620,325
621,325
622,325
623,325
624,325
625,325
626,325
627,325
628,325
629,325
630,325
631,325
632,325
633,325
634,325
635,325
636,325
637,325
638,325
639,325
640,325
641,325
642,325
643,325
644,325
645,325
646,325
647,325
648,325
649,325
650,325
651,325
652,325
653,325
654,325
655,325
656,325
657,325
658,325
659,325
660,325
703,325
704,325
705,325
617,326
618,326
619,326
620,326
621,326
622,326
623,326
624,326
625,326
626,326
627,326
628,326
629,326
630,326
631,326
632,326
633,326
634,326
635,326
704,326
705,326
706,326
617,327
618,327
619,327
620,327
704,327
705,327
706,327
707,327
617,328
618,328
619,328
620,328
705,328
706,328
707,328
708,328
617,329
618,329
619,329
620,329
706,329
707,329
708,329
617,330
618,330
619,330
620,330
706,330
707,330
708,330
617,331
618,331
619,331
620,331
705,331
706,331
707,331
618,332
619,332
620,332
621,332
705,332
706,332
707,332
618,333
619,333
620,333
621,333
622,333
705,333
706,333
707,333
619,334
620,334
621,334
622,334
705,334
706,334
707,334
620,335
621,335
622,335
623,335
705,335
706,335
707,335
621,336
622,336
623,336
624,336
705,336
706,336
707,336
622,337
623,337
624,337
706,337
707,337
622,338
623,338
624,338
625,338
706,338
707,338
708,338
623,339
624,339
625,339
706,339
707,339
708,339
623,340
624,340
625,340
626,340
706,340
707,340
708,340
623,341
624,341
625,341
626,341
627,341
707,341
708,341
624,342
625,342
626,342
627,342
628,342
707,342
708,342
709,342
624,343
625,343
626,343
627,343
628,343
629,343
707,343
708,343
709,343
627,344
628,344
629,344
630,344
631,344
632,344
633,344
634,344
708,344
709,344
628,345
629,345
630,345
631,345
632,345
633,345
634,345
635,345
708,345
709,345
710,345
632,346
633,346
634,346
635,346
708,346
709,346
710,346
633,347
634,347
635,347
709,347
710,347
711,347
633,348
634,348
635,348
710,348
711,348
712,348
632,349
633,349
634,349
635,349
710,349
711,349
712,349
713,349
632,350
633,350
634,350
635,350
711,350
712,350
713,350
714,350
631,351
632,351
633,351
634,351
635,351
712,351
713,351
714,351
715,351
631,352
632,352
633,352
634,352
635,352
712,352
713,352
714,352
715,352
716,352
630,353
631,353
632,353
633,353
713,353
714,353
715,353
716,353
717,353
630,354
631,354
632,354
714,354
715,354
716,354
717,354
718,354
630,355
631,355
632,355
633,355
715,355
716,355
717,355
718,355
719,355
630,356
631,356
632,356
633,356
717,356
718,356
719,356
720,356
631,357
632,357
633,357
634,357
718,357
719,357
720,357
721,357
722,357
632,358
633,358
634,358
635,358
719,358
720,358
721,358
722,358
723,358
632,359
633,359
634,359
635,359
636,359
721,359
722,359
723,359
724,359
725,359
633,360
634,360
635,360
636,360
637,360
723,360
724,360
725,360
726,360
635,361
636,361
637,361
724,361
725,361
726,361
636,362
637,362
638,362
639,362
724,362
725,362
726,362
636,363
637,363
638,363
639,363
724,363
725,363
726,363
637,364
638,364
639,364
640,364
724,364
725,364
726,364
638,365
639,365
640,365
641,365
724,365
725,365
726,365
639,366
640,366
641,366
724,366
725,366
726,366
640,367
641,367
724,367
725,367
726,367
727,367
728,367
640,368
641,368
725,368
726,368
727,368
728,368
729,368
730,368
731,368
732,368
733,368
734,368
735,368
640,369
641,369
642,369
726,369
727,369
728,369
729,369
730,369
731,369
732,369
733,369
734,369
735,369
736,369
737,369
640,370
641,370
642,370
732,370
733,370
734,370
735,370
736,370
737,370
738,370
640,371
641,371
642,371
736,371
737,371
738,371
640,372
641,372
642,372
736,372
737,372
738,372
640,373
641,373
642,373
736,373
737,373
738,373
641,374
642,374
736,374
737,374
738,374
641,375
642,375
736,375
737,375
738,375
641,376
642,376
643,376
735,376
736,376
737,376
641,377
642,377
643,377
735,377
736,377
737,377
641,378
642,378
643,378
735,378
736,378
737,378
641,379
642,379
643,379
735,379
736,379
737,379
641,380
642,380
643,380
734,380
735,380
736,380
641,381
642,381
643,381
734,381
735,381
736,381
641,382
642,382
643,382
734,382
735,382
641,383
642,383
643,383
733,383
734,383
735,383
641,384
642,384
643,384
733,384
734,384
735,384
641,385
642,385
643,385
733,385
734,385
735,385
641,386
642,386
643,386
733,386
734,386
735,386
641,387
642,387
643,387
733,387
734,387
735,387
641,388
642,388
643,388
734,388
735,388
641,389
642,389
643,389
734,389
735,389
736,389
641,390
642,390
643,390
734,390
735,390
736,390
737,390
641,391
642,391
643,391
735,391
736,391
737,391
738,391
641,392
642,392
643,392
735,392
736,392
737,392
738,392
641,393
642,393
643,393
736,393
737,393
738,393
739,393
641,394
642,394
643,394
737,394
738,394
739,394
740,394
641,395
642,395
643,395
738,395
739,395
740,395
741,395
742,395
641,396
642,396
643,396
740,396
741,396
742,396
743,396
744,396
641,397
642,397
643,397
741,397
742,397
743,397
744,397
745,397
746,397
641,398
642,398
643,398
742,398
743,398
744,398
745,398
746,398
747,398
748,398
749,398
750,398
641,399
642,399
643,399
745,399
746,399
747,399
748,399
749,399
750,399
751,399
641,400
642,400
643,400
748,400
749,400
750,400
751,400
752,400
641,401
642,401
643,401
750,401
751,401
752,401
641,402
642,402
643,402
751,402
752,402
753,402
641,403
642,403
643,403
751,403
752,403
753,403
641,404
642,404
643,404
752,404
753,404
754,404
641,405
642,405
643,405
752,405
753,405
754,405
641,406
642,406
643,406
752,406
753,406
754,406
641,407
642,407
643,407
753,407
754,407
755,407
641,408
642,408
643,408
753,408
754,408
755,408
641,409
642,409
643,409
754,409
755,409
756,409
641,410
642,410
643,410
754,410
755,410
756,410
757,410
641,411
642,411
643,411
754,411
755,411
756,411
641,412
642,412
643,412
753,412
754,412
755,412
641,413
642,413
643,413
753,413
754,413
755,413
641,414
642,414
643,414
754,414
755,414
756,414
641,415
642,415
643,415
754,415
755,415
756,415
641,416
642,416
643,416
754,416
755,416
756,416
757,416
641,417
642,417
643,417
754,417
755,417
756,417
757,417
641,418
642,418
643,418
755,418
756,418
757,418
758,418
641,419
642,419
643,419
755,419
756,419
757,419
758,419
759,419
641,420
642,420
643,420
755,420
756,420
757,420
758,420
759,420
641,421
642,421
643,421
756,421
757,421
758,421
759,421
760,421
641,422
642,422
643,422
758,422
759,422
760,422
761,422
762,422
641,423
642,423
643,423
761,423
762,423
763,423
642,424
643,424
644,424
761,424
762,424
763,424
641,425
642,425
643,425
644,425
761,425
762,425
763,425
641,426
642,426
643,426
644,426
761,426
762,426
642,427
643,427
644,427
760,427
761,427
762,427
642,428
643,428
644,428
760,428
761,428
762,428
642,429
643,429
644,429
760,429
761,429
762,429
642,430
643,430
644,430
758,430
759,430
760,430
761,430
642,431
643,431
644,431
756,431
757,431
758,431
759,431
760,431
642,432
643,432
644,432
756,432
757,432
758,432
759,432
642,433
643,433
644,433
755,433
756,433
757,433
758,433
642,434
643,434
644,434
755,434
756,434
757,434
758,434
642,435
643,435
644,435
726,435
727,435
728,435
729,435
730,435
731,435
732,435
733,435
734,435
735,435
736,435
737,435
738,435
739,435
740,435
741,435
742,435
743,435
744,435
754,435
755,435
756,435
757,435
642,436
643,436
644,436
697,436
698,436
699,436
700,436
701,436
702,436
703,436
704,436
705,436
706,436
707,436
708,436
709,436
710,436
711,436
712,436
713,436
714,436
715,436
716,436
717,436
718,436
719,436
720,436
721,436
722,436
723,436
724,436
725,436
726,436
727,436
728,436
729,436
730,436
731,436
732,436
733,436
734,436
735,436
736,436
737,436
738,436
739,436
740,436
741,436
742,436
743,436
744,436
745,436
754,436
755,436
756,436
757,436
642,437
643,437
644,437
667,437
668,437
669,437
670,437
671,437
672,437
673,437
674,437
675,437
676,437
677,437
678,437
679,437
680,437
681,437
682,437
683,437
684,437
685,437
686,437
687,437
688,437
689,437
690,437
691,437
692,437
693,437
694,437
695,437
696,437
697,437
698,437
699,437
700,437
701,437
702,437
703,437
704,437
705,437
706,437
707,437
708,437
709,437
710,437
711,437
712,437
713,437
714,437
715,437
716,437
717,437
718,437
719,437
720,437
721,437
722,437
723,437
724,437
725,437
726,437
727,437
728,437
729,437
730,437
731,437
732,437
733,437
734,437
735,437
736,437
737,437
738,437
739,437
740,437
741,437
742,437
743,437
744,437
745,437
754,437
755,437
756,437
643,438
644,438
645,438
646,438
647,438
648,438
649,438
650,438
651,438
652,438
653,438
654,438
655,438
656,438
657,438
658,438
659,438
660,438
661,438
662,438
663,438
664,438
665,438
666,438
667,438
668,438
669,438
670,438
671,438
672,438
673,438
674,438
675,438
676,438
677,438
678,438
679,438
680,438
681,438
682,438
683,438
684,438
685,438
686,438
687,438
688,438
689,438
690,438
691,438
692,438
693,438
694,438
695,438
696,438
697,438
698,438
699,438
700,438
701,438
702,438
703,438
704,438
705,438
706,438
707,438
708,438
709,438
710,438
711,438
712,438
713,438
714,438
715,438
716,438
717,438
718,438
719,438
720,438
721,438
722,438
723,438
724,438
743,438
744,438
745,438
746,438
753,438
754,438
755,438
756,438
643,439
644,439
645,439
646,439
647,439
648,439
649,439
650,439
651,439
652,439
653,439
654,439
655,439
656,439
657,439
658,439
659,439
660,439
661,439
662,439
663,439
664,439
665,439
666,439
667,439
668,439
669,439
670,439
671,439
672,439
673,439
674,439
675,439
676,439
677,439
678,439
679,439
680,439
681,439
682,439
683,439
684,439
685,439
686,439
687,439
688,439
689,439
690,439
691,439
692,439
693,439
694,439
744,439
745,439
746,439
747,439
753,439
754,439
755,439
756,439
643,440
644,440
645,440
646,440
647,440
648,440
649,440
650,440
651,440
652,440
653,440
745,440
746,440
747,440
753,440
754,440
755,440
644,441
745,441
746,441
747,441
753,441
754,441
755,441
745,442
746,442
747,442
753,442
754,442
755,442
744,443
745,443
746,443
753,443
754,443
743,444
744,444
745,444
746,444
752,444
753,444
754,444
741,445
