x,y
928,409
929,409
930,409
931,409
927,410
928,410
929,410
930,410
931,410
932,410
924,411
925,411
926,411
927,411
928,411
929,411
930,411
931,411
932,411
909,412
910,412
911,412
912,412
913,412
914,412
915,412
916,412
917,412
918,412
919,412
920,412
921,412
922,412
923,412
924,412
925,412
926,412
927,412
928,412
930,412
931,412
932,412
896,413
897,413
898,413
899,413
903,413
904,413
905,413
906,413
907,413
908,413
909,413
910,413
911,413
912,413
913,413
914,413
915,413
916,413
917,413
918,413
919,413
920,413
921,413
922,413
923,413
924,413
925,413
926,413
927,413
931,413
932,413
892,414
893,414
894,414
895,414
896,414
897,414
898,414
899,414
900,414
901,414
902,414
903,414
904,414
905,414
906,414
907,414
908,414
909,414
910,414
911,414
912,414
913,414
914,414
930,414
931,414
932,414
888,415
889,415
890,415
891,415
892,415
893,415
894,415
895,415
896,415
897,415
898,415
899,415
900,415
901,415
902,415
903,415
904,415
905,415
906,415
930,415
931,415
932,415
885,416
886,416
887,416
888,416
889,416
890,416
891,416
892,416
893,416
894,416
895,416
896,416
897,416
898,416
899,416
930,416
931,416
932,416
876,417
877,417
878,417
879,417
880,417
881,417
882,417
883,417
884,417
885,417
886,417
887,417
888,417
889,417
890,417
891,417
929,417
930,417
931,417
932,417
862,418
863,418
864,418
865,418
866,418
867,418
868,418
869,418
870,418
871,418
872,418
873,418
874,418
875,418
876,418
877,418
878,418
879,418
880,418
881,418
882,418
883,418
884,418
885,418
886,418
887,418
928,418
929,418
930,418
931,418
855,419
856,419
857,419
858,419
859,419
860,419
861,419
862,419
863,419
864,419
865,419
866,419
867,419
868,419
869,419
870,419
871,419
872,419
873,419
874,419
875,419
876,419
877,419
878,419
879,419
880,419
881,419
882,419
883,419
884,419
927,419
928,419
929,419
930,419
848,420
849,420
850,420
851,420
852,420
853,420
854,420
855,420
856,420
857,420
858,420
859,420
860,420
861,420
862,420
863,420
864,420
865,420
866,420
867,420
868,420
869,420
870,420
871,420
872,420
873,420
874,420
875,420
876,420
877,420
878,420
927,420
928,420
929,420
930,420
842,421
843,421
844,421
845,421
846,421
847,421
848,421
849,421
850,421
851,421
852,421
853,421
854,421
855,421
856,421
857,421
858,421
859,421
860,421
861,421
862,421
863,421
864,421
865,421
866,421
867,421
868,421
869,421
926,421
927,421
928,421
929,421
829,422
830,422
831,422
832,422
833,422
834,422
835,422
836,422
837,422
838,422
839,422
840,422
841,422
842,422
843,422
844,422
845,422
846,422
847,422
848,422
849,422
850,422
851,422
852,422
853,422
854,422
855,422
856,422
857,422
858,422
926,422
927,422
928,422
819,423
820,423
821,423
822,423
823,423
824,423
825,423
826,423
827,423
828,423
829,423
830,423
831,423
832,423
833,423
834,423
835,423
836,423
837,423
838,423
839,423
840,423
841,423
842,423
843,423
844,423
845,423
846,423
847,423
848,423
925,423
926,423
927,423
809,424
810,424
811,424
812,424
813,424
814,424
815,424
816,424
817,424
818,424
819,424
820,424
821,424
822,424
823,424
824,424
825,424
826,424
827,424
828,424
829,424
830,424
831,424
832,424
833,424
834,424
835,424
922,424
923,424
924,424
925,424
926,424
927,424
797,425
798,425
799,425
800,425
801,425
802,425
803,425
804,425
805,425
806,425
807,425
808,425
809,425
810,425
811,425
812,425
813,425
814,425
815,425
816,425
817,425
818,425
819,425
820,425
821,425
822,425
823,425
824,425
825,425
919,425
920,425
921,425
922,425
923,425
924,425
925,425
926,425
786,426
787,426
788,426
789,426
790,426
791,426
792,426
793,426
794,426
795,426
796,426
797,426
798,426
799,426
800,426
801,426
802,426
803,426
804,426
805,426
806,426
807,426
808,426
809,426
810,426
811,426
812,426
813,426
814,426
815,426
816,426
918,426
919,426
920,426
921,426
922,426
923,426
924,426
925,426
926,426
786,427
787,427
788,427
789,427
790,427
791,427
792,427
793,427
794,427
795,427
796,427
797,427
798,427
799,427
800,427
801,427
802,427
803,427
804,427
913,427
917,427
918,427
919,427
920,427
921,427
786,428
787,428
788,428
789,428
790,428
791,428
792,428
793,428
912,428
913,428
914,428
915,428
916,428
917,428
918,428
919,428
786,429
787,429
910,429
911,429
912,429
913,429
914,429
915,429
916,429
917,429
918,429
785,430
786,430
787,430
909,430
910,430
911,430
912,430
913,430
914,430
915,430
916,430
917,430
774,431
775,431
776,431
777,431
778,431
779,431
780,431
781,431
782,431
783,431
784,431
785,431
786,431
787,431
908,431
909,431
910,431
911,431
756,432
757,432
758,432
759,432
760,432
762,432
763,432
764,432
765,432
766,432
767,432
768,432
769,432
770,432
771,432
772,432
773,432
774,432
775,432
776,432
777,432
778,432
779,432
780,432
781,432
782,432
783,432
784,432
785,432
786,432
787,432
907,432
908,432
909,432
910,432
911,432
755,433
756,433
757,433
758,433
759,433
760,433
761,433
762,433
763,433
764,433
765,433
766,433
767,433
768,433
769,433
770,433
771,433
772,433
773,433
774,433
775,433
776,433
777,433
778,433
779,433
780,433
781,433
782,433
783,433
784,433
785,433
786,433
787,433
906,433
907,433
908,433
909,433
910,433
755,434
756,434
757,434
758,434
759,434
760,434
761,434
762,434
763,434
764,434
765,434
766,434
767,434
768,434
769,434
770,434
771,434
772,434
773,434
774,434
775,434
776,434
777,434
778,434
779,434
780,434
781,434
782,434
783,434
784,434
785,434
786,434
906,434
907,434
908,434
909,434
754,435
755,435
756,435
757,435
758,435
759,435
760,435
761,435
762,435
763,435
764,435
765,435
766,435
767,435
768,435
769,435
906,435
907,435
908,435
909,435
754,436
755,436
756,436
757,436
905,436
906,436
907,436
908,436
754,437
755,437
